completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The strong influence of the attic - Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic .,"The strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a Greek Metic.

LAB","The strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a Greek Metic.

LAB",0.88,0.88,0.6,0.6
"While Gordy continued to be used as a background singer , John triggered her contract in 1962 .","While Gordy continued to be used as a background singer, John dissolved her contract in 1962.

LABEL: 1

SENTENCE 3","While Gordy continued to be used as a background singer, John dissolved her contract in 1962.

LABEL: 1

SENTENCE 1",0.83,0.83,0.38,0.42
"Hay was the eldest son of George Hay , 8th Earl of Kinnoull , and Abigail , daughter of Robert Harley , 1st Earl of Oxford and Earl Mortimer .","Hay was the eldest son of George Hay, 8th Earl of Kinnoull, and Abigail, daughter of Robert Harley, 1st Earl","The first Earl of Kinnoull, Hay, was the eldest son of George Hay, 8th Earl of Kinnoull, and Abigail",0.89,0.64,0.63,0.55
"He then asked his assistant Gunpei Yokoi about the possibility of shooting their current product , the `` Opto-Electronic Gun SP '' , for using simulations .","Then he asked his assistant Gunpei Yokoi about the possibility of shooting their current product, the `` OptoElectronic Gun SP '', for simulations.
",The company was founded in the year of the year of the year of the year of the year of the year of the year of the year of the year of,0.86,0.11,0.82,0.1
"He completed 11 war patrols , made 12 attacks , sunk 2 enemy transports and a lighter .","He made 11 war patrols, completed 12 attacks, sunk 2 enemy transports and a lighter.

LABEL: 1

SENTENCE 1","He made 11 war patrols, completed 12 attacks, sunk 2 enemy transports and a lighter.

LABEL: 1

SENTENCE 1",0.76,0.76,0.64,0.64
Jean Antoine was retired in 1653 and was taken over by his sons Jean de Tournes and Samuel de Tournes in the family business .,"Jean Antoine retired in 1653, and was succeeded in the family business by his sons Jean de Tournes and Samuel de Tournes.

LABEL","Jean de Tournes was succeeded in the family business by his sons Jean de Tournes and Samuel de Tournes.

LABEL: 2

S",0.72,0.57,0.67,0.43
"For his career , Webb had 5,771 rushing yards and 2,774 passing yards for a total of 8,545 offensive yards .","For his career, Webb had 5,771 Yards and 2,774 passing farms for a total of 8,545 offensive yards.

LABEL:","For his career, Webb had 5,771 Yards and 2,774 passing yards for a total of 8,545 offensive yards.

LABEL:",0.91,0.95,0.59,0.65
"The majority of the inhabitants of Babulo follow officially the entire religion , as in Catholic East - Timor .","The majority of the inhabitants of Babulo officially follow the entire religion, as in Catholic East Timor.

LABEL: 2

SENTENCE","The majority of the inhabitants of Babulo officially follow the entire religion, as in Catholic East Timor.

LABEL: 2

SENTENCE",0.86,0.86,0.57,0.57
"The album contains 16 tracks , recorded during two performances in May 2002 , one in Chicago , Illinois , and the other in Memphis , Tennessee .","The album contains 16 tracks recorded during two May 2002 performances, one in Chicago, Illinois, and the other in Memphis, Tennessee.

LABEL: 2","The album contains 16 tracks recorded during two May 2002 performances, one in Chicago, Illinois, and the other in Memphis, Tennessee.

LABEL: 2",0.89,0.89,0.71,0.71
"He remained in London after 1815 , when his wife died , but with his health decline he returned in 1825 to live in Wales .","He stayed in Wales after 1815, when his wife died, but with his health declining he returned to live in London in 1825.

LABEL","He stayed in Wales after 1815, when his wife died, but with his health declining he returned to live in London in 1825.

LABEL",0.72,0.72,0.65,0.65
William Duell was played in the play and movie `` 1776 '' by McNair .,"William Duell was played by McNair in the play and film `` 1776 ''.

LABEL: 2

SENTENCE 3:
","William Duell was played by McNair in the play and film `` 1776 ''.

LABEL: 2

SENTENCE 1:
",0.64,0.64,0.58,0.59
"The granddaughter of a publisher , Boyle was born in St. Paul , Minnesota , and grew up in several cities but principally in Cincinnati , Ohio .","The granddaughter of a publisher, Boyle was born in St. Paul, Minnesota and grew in several cities, but mainly in Cincinnati, Ohio.

","The granddaughter of a publisher, Boyle was born in St. Paul, Minnesota and grew in several cities, but mainly in Cincinnati, Ohio.

",0.93,0.93,0.82,0.82
"In January 1131 he was trapped in a forest near Zealand in Ringsted , and executed .","In January 1131, he was captured and executed in a forest near Ringsted in Zealand.

LABEL: 1

SENTENCE 3:","In January 1131, he was captured and executed in a forest near Ringsted in Zealand.

LABEL: 1

SENTENCE 1:",0.59,0.59,0.55,0.56
"Born in 1841 in Lawrence County , Arkansas , Gardenhire moved to Marion County , Tennessee with his family when he was 10 .","Gardenhire was a member of the Republican Party.

LABEL: 2

SENTENCE 3:
Gardenhire was a member of","Born 1841 in Lawrence County, Arkansas, Gardenhire moved with his family to Marion County, Tennessee, when he was 10 years old.

LABEL",0.11,0.76,0.16,0.67
"Herglotz worked in the fields of seismology , number theory , sky mechanics , electron theory , general relativity , special relativity , hydrodynamics , theory of refraction .","Herglotz worked in the fields of seismology, number theory, celestial mechanics, theory of electrons, special relativity, general relativity, hydrodynamics","Herglotz worked in the fields of seismology, number theory, celestial mechanics, theory of electrons, special relativity, general relativity, hydrodynamics",0.7,0.7,0.68,0.68
"For the following game , Hunter retained his place but the captaincy moved to Norman Bailey .","Norman Bailey retained his place for the following game, but the captain moved to Hunter.

LABEL: 1

SENTENCE 3:
","Norman Bailey retained his place for the following game, but the captain moved to Hunter.

LABEL: 1

SENTENCE 1:
",0.47,0.47,0.48,0.49
The 1992 NFL season was the 73rd regular National Football League season .,"The 1992 National Football League season was the 74th regular season of the NFL.

LABEL: 2

SENTENCE 3:
The 1992","The 1992 National Football League season was the 73rd regular season of the NFL.

LABEL: 2

SENTENCE 1:
The 1992",0.44,0.5,0.38,0.41
The first effective air pump constructed in England for scientific purposes was made in 1658 by Robert Boyle for Robert Hooke .,"The first successful air pump was built by Robert Hooke in 1658.

LABEL: 1

SENTENCE 3:
The first successful","The first effective air pump built for scientific purposes in England was manufactured by Robert Hooke for Robert Boyle in 1658.

LABEL: 1
",0.4,0.59,0.35,0.72
The episode was written by Adam Davidson and directed by Matt Warburton .,"The episode was written by Matt Warburton and is directed by Adam Davidson.

LABEL: 1

SENTENCE 1:
The episode","The episode was written by Matt Warburton and is directed by Adam Davidson.

LABEL: 1

SENTENCE 1:
The episode",0.52,0.52,0.53,0.53
"An alternative , more compact syntax is also provided where DFDL properties are transferred as non-native attributes in the XML schema objects themselves .","The following LABEL shows the logical relationship between SENTENCE 1 and SENTENCE 2.

SENTENCE 1:
An alternative, more compact","The XML Schema object is a sequence of XML Schema elements, each of which is a sequence of XML Schema attribute values.

LABEL: 2

",0.19,0.13,0.2,0.15
"If the are all zero , then this is quantum Liouville equation ( for a closed system ) , which is the quantum analog of the classical Liouville equation .","If all are zero, then this is the quantum - Liouville - equation ( for a closed system ), which is the quantum analogue of the classic Li","If all are zero, then this is the quantum - Liouville - equation ( for a closed system ), which is the quantum analogue of the classic Li",0.78,0.78,0.67,0.67
It is estimated that Japan has the potential for 144 GW of onshore wind and 608 GW for offshore wind capacity .,"It has been estimated that Japan has a potential of 144 GW for offshore wind and 608 GW from onshore wind capacity.

LABEL: 1

","The total capacity of offshore wind in Japan is expected to reach 1.2 GW by 2025.

LABEL: 1

SENTENCE 1",0.62,0.19,0.68,0.18
Yalıköy is a village connected to the Giresun district of Tirebolu province .,"Yalıköy is a village connected to the district of Giresun in the province Tirebolu.

LABEL: 2

","Yalıköy is a village connected to the district of Giresun in the province Tirebolu.

LABEL: 2

",0.75,0.75,0.65,0.65
The Luhei River is a tributary of the River Vişeu in Romania .,"The Vişeu River is a tributary of the Danube River in Romania.

LABEL: 2

SENTENCE 3:
The","The Vişeu River is a tributary of the Luhei River in Romania.

LABEL: 2

SENTENCE 1:
The",0.65,0.65,0.12,0.23
"It was first published in North America on February 26 , 1991 and later released in Japan in September 1991 .","It was first released in North America on February 26, 1991 and later released in Japan in September 1991.

LABEL: 2

SENTENCE","It was first released in North America on February 26, 1991 and later released in Japan in September 1991.

LABEL: 2

SENTENCE",0.88,0.88,0.6,0.6
He dated John F. Kennedy ( who later became Jacqueline Bouvier to marry and become a First Lady of the United States ) .,"He was a member of the Democratic Party.

LABEL: 1

SENTENCE 3:
He was a member of the Republican Party.","He was a member of the Democratic Party.

LABEL: 1

SENTENCE 1:
He was a member of the Democratic Party.",0.2,0.2,0.25,0.39
"In 1994 , Bret Hart returned to the WWF at SummerSlam , where he was immediately involved in an enduring family feud between Smith and his brother Owen Hart .","In the summer of 1994, Owen Hart was involved in a feud with Bret Hart, which led to a match at SummerSlam.

LABEL:","The WWF was in a state of flux in the late 1990s, with the company in the midst of a major restructuring and a new management team in place",0.32,0.18,0.34,0.11
"Jerome County is a part of the Twin Falls , ID Micropolitan Statistical Area .","Jerome County is part of the Twin Falls, ID Micropolitan Statistical Area.

SENTENCE 1:
Jerome County is part of the Twin","The city of Twin Falls is located in Jerome County.

LABEL: 2

SENTENCE 1:
The city of Twin Falls is located",0.71,0.29,0.63,0.35
"Ghimniye is a village in Palghar - district of Maharashtra , India . It is located in Talasari Taluka .","Ghimniye is a village in the Talasari district of Maharashtra, India. It is located in Palghar taluka.

","Ghimniye is a village in the Talasari district of Maharashtra, India. It is located in Palghar taluka.

",0.85,0.85,0.86,0.86
Four bells were mentioned between 1777 and 1860 and in 1861 three new ones were inaugurated .,"The bells were consecrated in 1777, and in 1861 three new bells were mentioned.

LABEL: 1

SENTENCE 3:
","The bells were consecrated between 1777 and 1860, and in 1861 three new bells were mentioned.

LABEL: 1

SENTENCE 1",0.53,0.67,0.43,0.48
Dassault Systèmes was bought by Quintiq in 2014 .,"Later in 2014, Dassault Systèmes was bought by Quintiq.

LABEL: 2

SENTENCE 1:
Later","In the year 2015, Dassault Systèmes was bought by Quintiq.

LABEL: 2

SENTENCE 1:
",0.58,0.58,0.46,0.4
He was the son of Emma Jane Dennis and of George Bentley .,"He was the son of Emma Jane Dennis and George Bentley.

LABEL: 2

SENTENCE 3:
He was the son of","He was the son of Emma Jane Dennis and George Bentley.

LABEL: 2

SENTENCE 1:
He was the son of",0.69,0.69,0.49,0.5
This is a list of international sporting events in the Greater Manila Area in the Philippines :,"This is a list of international sporting events in the Greater Manila Area in the Philippines :

LABEL: 1

SENTENCE 1:
This","This is a list of international sporting events in the Greater Manila Area in the Philippines :

LABEL: 1

SENTENCE 1:
This",0.86,0.86,0.49,0.49
The Thai Ambassador in Yangon is the official representative of the Government in Bangkok to the Government of Myanmar .,"The Thai ambassador to Bangkok is the official representative of the government in Yangon to the government in Myanmar.

LABEL: 1

SENTENCE","The Thai ambassador to Bangkok is the official representative of the government in Yangon to the government in Myanmar.

LABEL: 1

SENTENCE",0.73,0.73,0.5,0.5
"After the 1971 season , Ed Farmer was traded by the Tigers along with Tom Timmermann to the Cleveland Indians in exchange for Collins .","After the 1971 season, Collins was traded by the Tigers to the Cleveland Indians in exchange for Ed Farmer, together with Tom Timmermann.

LABEL","After the 1971 season, Collins was traded by the Tigers to the Cleveland Indians in exchange for Ed Farmer, together with Tom Timmermann.

LABEL",0.68,0.68,0.61,0.61
In 1909 he died in Montreal and was buried in Calgary .,"He died in 1909 in Calgary and was buried in Montreal.

LABEL: 1

SENTENCE 3:
He died in 1909 in Calgary","He died in 1909 in Calgary and was buried in Montreal.

LABEL: 1

SENTENCE 1:
He died in 1909 in Calgary",0.5,0.5,0.57,0.59
"43.0 % were of German , 10.8 % Norwegian , 8.3 % Swedish , 7.4 % Irish and 5.9 % Finnish ancestry according to Census 2000 .","43.0 % were German, 10.8 % Norwegian, 8.3 % Irish, 7.4 % of Finnish and 5.9 % Swedish descent","43.0 % were German, 10.8 % Norwegian, 8.3 % Irish, 7.4 % of Finnish and 5.9 % Swedish descent",0.67,0.67,0.71,0.71
In the following weeks on `` Raw '' Hardy began to attack Lita repeatedly and seduce Kane .,"In the following weeks on `` Raw '', Kane began repeatedly assaulting Hardy and attempting to seduce Lita.

LABEL: 1

S","In the following weeks on `` Raw '', Kane began repeatedly assaulting Hardy and attempting to seduce Lita.

LABEL: 1

S",0.59,0.59,0.55,0.55
No long or necessary training is necessary to learn the demanding techniques .,"The apprenticeship is not necessary to learn the demanding techniques.

LABEL: 2

SENTENCE 3:
The apprenticeship is","The most important thing is to learn the techniques.

LABEL: 2

SENTENCE 1:
The most important thing is to learn the",0.48,0.3,0.35,0.34
"Of these 18 states , four of them have listed IN , PA , OH and MD `` G. villosa '' as endangered species .","Of these eighteen states four of them IN, PA, OH, and MD have listed `` G. villosa '' as an endangered species.

LABEL","The species is listed as endangered in the United States.

LABEL: 2

SENTENCE 1:
The species is listed as endangered in",0.8,0.2,0.65,0.25
"Henri Dobler was born in Marseille in 1863 , and his parents sold silk and textiles in Switzerland .","Henri Dobler was born in 1863 in Marseille. His parents sold silk and textiles in Switzerland.

LABEL: 2

S","Henri Dobler was born in 1863 in Marseille. His parents sold silk and textiles in Switzerland.

LABEL: 2

S",0.78,0.78,0.61,0.61
"On December 1 , Tinnish announced that he had withdrawn from his position with Atlanta and would remain with Toronto .","On December 1, Tinnish announced he had withdrawn from his position with Atlanta and would remain with Toronto.

LABEL: 2

SENT","On December 1, Tinnish announced he had withdrawn from his position with Atlanta and would remain with Toronto.

LABEL: 2

SENT",0.9,0.9,0.56,0.56
Many of these points are uninhabited ; see also extreme communities of Canada for inhabited places .,"The most important thing is that the people who live in these places are very happy.

LABEL: 2

SENTENCE 3:
The","The first sentence is a sentence that is not in the test split of the paws dataset.

LABEL: 2

SENTENCE 1:",0.11,0.06,0.06,0.2
"The 1895 , as well as the early Model 1899 and later Model 99 , used a rotary magazine to hold the cartridges .","The 1895, as well as the later model in 1899 and the early model 99, used a turning magazine to hold the cartridges.

LABEL: 1","The 1895, as well as the later model in 1899 and the early model 99, used a turning magazine to hold the cartridges.

LABEL: 1",0.78,0.78,0.67,0.67
"Anne Roiphe married the writer Anne Roth ( now Richardson ) in 1957 , and they had a daughter Emily Carter .","Richardson married author Anne Roth ( now Anne Roiphe ) in 1957, and they had a daughter Emily Carter.

LABEL: 1

","Richardson married author Anne Roth ( now Anne Roiphe ) in 1957, and they had a daughter Emily Carter.

LABEL: 1

",0.7,0.7,0.63,0.63
"Pharmalogical drugs can also be accompanied a transsphenoidal surgery including the following : pasireotide , temozolomide and octreotide .","The following is a list of the following :

SENTENCE 1:
The following is a list of the following :

SENTENCE 1","The following are the most common side effects of the drug :

SENTENCE 1:
The following are the most common side effects of the drug :",0.17,0.1,0.47,0.43
In the following weeks on `` Raw '' Hardy began to attack Lita repeatedly and seduce Kane .,"In the following weeks on `` Raw '', Hardy began repeatedly assaulting Lita and attempting to seduce Kane.

LABEL: 2

S","In the following weeks on `` Raw '', Hardy began repeatedly assaulting Lita and attempting to seduce Kane.

LABEL: 2

S",0.71,0.71,0.65,0.65
The film was produced by Stuart Legg and directed by John Taylor .,"The film was produced by Stuart Legg and managed by John Taylor.

LABEL: 2

SENTENCE 1:
The film was produced","The film was produced by Stuart Legg and managed by John Taylor.

LABEL: 2

SENTENCE 1:
The film was produced",0.69,0.69,0.48,0.48
"Romuald , however , destroyed and destroyed part of the Roman army at Forino , between Avellino and Salerno .","However, Romuald intercepted part of the Roman army at Forino, between Avellino and Salerno, and destroyed it.

LABEL","However, Romuald intercepted part of the Roman army at Forino, between Avellino and Salerno, and destroyed it.

LABEL",0.71,0.71,0.52,0.52
The altar frieze is the work of the sculptor Ronald Hughes and his student Elmar Hillebrand .,"The altar frieze is the work of sculptor Elmar Hillebrand and his student Ronald Hughes.

SENTENCE 1:
The altar","The altar frieze is the work of sculptor Elmar Hillebrand and his student Ronald Hughes.

LABEL: 1

SENT",0.63,0.65,0.67,0.64
It originated in a group of cabins built by local farmer Jahu Reed in the 1870s for the Irish workers he employed in his orchards .,"The huts were destroyed by the Japanese in the early 1940s.

LABEL: 2

SENTENCE 3:
The huts were","The huts were built in the 1870s by local farmer Jahu Reed for the Irish workers he employed in his orchards.

LABEL:",0.19,0.64,0.16,0.62
"Her only daughter , Adelaide Mary Riddoch ( May 28 , 1874 - January 3 , 1904 ) , was married Captain George Frederick Napier on March 15 , 1898 ( military ) .",Their only daughter Adelaide Mary Riddoch ( 28 May 1874 -- 3 January 1904 ) married ( military ) Captain George Frederick Napier on 15 March 1898.,"The Riddoch family moved to the town of Warrnambool in Victoria in 1878.

LABEL: 2

SENTENCE",0.76,0.05,0.76,0.04
"The granddaughter of a publisher , Boyle was born in Cincinnati , Ohio , and grew up in several cities , but mostly in St. Paul , Minnesota .","The granddaughter of a publisher, Boyle was born in St. Paul, Minnesota, and grew up in several cities but principally in Cincinnati, Ohio.
","The granddaughter of a publisher, Boyle was born in St. Paul, Minnesota, and grew up in several cities but principally in Cincinnati, Ohio.
",0.74,0.74,0.8,0.8
"Warwick Brown ( born December 24 , 1949 in Australia ) is a former racing driver in Sydney .","Warwick Brown ( born in Sydney, 24 December 1949 ) is a former racing driver from Australia.

LABEL: 1

SENTENCE 1","Warwick Brown ( born in Sydney, 24 December 1949 ) is a former racing driver from Australia.

LABEL: 1

SENTENCE 1",0.59,0.59,0.55,0.55
"It is the only epithelial tissue that is not avascular ( i.e. , completely missing blood and lymphatic vessels ) .","It is the only epithelial tissue that is not lymphatic ( i.e. completely lacking blood and avascular vessels ).

LABEL: 1

","The only epithelial tissue that is not lymphatic ( i.e. completely lacking blood and avascular vessels ).

LABEL: 1

SENT",0.79,0.7,0.61,0.52
Vivek Ranadive brought together a group led by Kevin Johnson to hold the team in Sacramento .,"Vivek Ranadive brought a group together led by Kevin Johnson to keep the team in Sacramento.

LABEL: 2

SENTENCE","Vivek Ranadive brought a group together led by Kevin Johnson to keep the team in Sacramento.

LABEL: 2

SENTENCE",0.8,0.8,0.57,0.57
"Tangerine Confectionery factories in Blackpool , Cleckheaton , York , Pontefract and Liverpool .","Tangerine Confectionery has factories in Blackpool, Cleckheaton, York, Pontefract and Liverpool.

LABEL: 2","Tangerine Confectionery has factories in Blackpool, Cleckheaton, York, Pontefract and Liverpool.

LABEL: 2",0.87,0.87,0.71,0.71
The episode was directed by Ron Rubio and wrote by Kirker Butler .,"The episode was written by Kirker Butler, and directed by Ron Rubio.

LABEL: 2

SENTENCE 1:
The episode was","The episode was written by Kirker Butler, and directed by Ron Rubio.

LABEL: 2

SENTENCE 1:
The episode was",0.45,0.45,0.44,0.44
"Hudson was born in Houston , attended the Worthing High School in Houston , Texas and played high school football for the Worthing Colts .","Hudson was born in Houston, Texas, and attended Worthing High School in Houston, Texas, and played high school football for the Worthing Colts.","Hudson was born in Houston. He attended Worthing High School in Houston, Texas, and played high school football for the Worthing Colts.

",0.93,0.95,0.85,0.84
Neural networks were then able to identify key patterns and consequently identify the customers who are most likely to repeat the purchase .,"Neural networks where consequently able to identify the key patterns and then identify the customers that were most likely to repeat purchase.

LABEL: 1

","Neural networks where consequently able to identify the key patterns and then identify the customers that were most likely to repeat purchase.

LABEL: 1

",0.7,0.7,0.7,0.7
"She was born in 1740 as John Fulton in Dorchester , married Sarah Bradlee in 1762 and moved to Medford .","He was born in Dorchester in 1740 when John Fulton married Bradlee in 1762 and moved to Medford.

LABEL: 2","She was born in Dorchester in 1740 when John Fulton married Bradlee in 1762 and moved to Medford.

LABEL: 2",0.72,0.77,0.45,0.55
"Following this uprising , Major Noel tried unsuccessfully to bring Shaykh Mahmud and other Kurdish nationalist leaders , including Simko , together .","The following LABEL shows the logical relationship between SENTENCE 1 and SENTENCE 2.

SENTENCE 1:
Following this rebellion, however","The following is a list of the most important events in the history of the Kurds.

LABEL: 1

SENTENCE 1:
",0.11,0.05,0.09,-0.03
Shrewsbury Township is located in the 4th Congressional District and is part of the 11th State Legislative District of New Jersey .,"Shrewsbury Township is located in the 11th Congressional District and is part of the 4th State Legislative District in New Jersey.

LABEL:","Shrewsbury Township is located in the 11th Congressional District and is part of the 4th State Legislative District in New Jersey.

LABEL:",0.84,0.84,0.69,0.69
"Butler married Kelly Lee Butler on November 22 , 2011 , and is now professionally known as Kelly Lee Daniels .","On November 22, 2011, Butler married Kelly Lee Daniels, now known professionally as Kelly Lee Daniels.

LABEL: 2

SENTENCE 3","On November 22, 2011, Butler married Kelly Lee Butler, now known professionally as Kelly Lee Daniels.

LABEL: 2

SENTENCE 1",0.53,0.58,0.4,0.41
"These players were Juan Maning , Hanamel Hill , Julio Creek , Axel Almanza and Héctor Martinez .","These players were Axel Almanza, Héctor Martinez, Hanamel, Julio Creek and Juan Maning.

SENTENCE 1:","These players were Axel Almanza, Héctor Martinez, Hanamel, Julio Creek and Juan Maning.

LABEL: 2
",0.52,0.52,0.5,0.49
"In 2002 , Global Exchange was awarded the Domestic Human Rights Award by CRLA and a San Francisco based international NGO .","In 2002, CRLA was awarded the Domestic Human Rights Award by Global Exchange and an international NGO located in San Francisco.

LABEL: 1

","In 2002, CRLA was awarded the Domestic Human Rights Award by Global Exchange and an international NGO located in San Francisco.

LABEL: 1

",0.6,0.6,0.65,0.65
"He died on 28 September 1988 in Culver City , California and was buried at the Hillside Memorial Park Cemetery in Los Angeles , California .","He died on 28 September 1988 in Los Angeles, California, and was buried at Hillside Memorial Park Cemetery in Culver City, California.

SENT","He died on 28 September 1988 in Los Angeles, California, and was buried at Hillside Memorial Park Cemetery in Culver City, California.

LABEL",0.78,0.78,0.74,0.69
"As traditionally defined , several species from South America , one from Africa , several from Asia and two from Australia belong to the family .","The family from Australia is the largest in size, with the largest number of species.

LABEL: 1

SENTENCE 3:
The","The family from Australia is the most diverse, with more than 200 species.

LABEL: 1

SENTENCE 1:
The family from",0.14,0.19,0.01,0.18
Gwendolyn has published four children 's albums as '' Gwendolyn and the Good Time Gang `` :,"Good Time Gang has released four children's albums as `` Gwendolyn and the Gwendolyn ''.

LABEL: 1

","Good Time Gang has released four children's albums as `` Gwendolyn and the Gwendolyn ''.

LABEL: 1

",0.6,0.6,0.48,0.48
The general difference between Cech - Cohomology and Garben - Cohomology is a motivation for the use of hypercoverings : these are more possible objects than the cech - nerve .,The general difference between Cech cohomology and sheaf cohomology is a motivation for the use of hypercoverings : these are more possible objects than the Cech nerve.,The general difference between Cech cohomology and sheaf cohomology is a motivation for the use of hypercoverings : these are more possible objects than the Cech nerve.,0.96,0.96,0.72,0.72
Federated searches are inherently as individual as the current information sources because they are searched in real time .,"Federated searches are inherently as current as the individual information sources, as they are searched in real time.

SENTENCE 1:
Federated searches","The federated search engine is a distributed search engine that is designed to be used in a distributed environment.

LABEL: 1

SENTENCE",0.75,0.1,0.68,0.22
"Writing for `` Empire '' , Kim Newman called it `` a smart , subversive but rather cold debut '' .","The film is a `` smart, subversive but rather cold debut '' for `` Empire ''.

LABEL: 2

SENTENCE 3","The film is a `` smart, subversive but rather cold debut '' for `` Empire ''.

LABEL: 2

SENTENCE 1",0.47,0.47,0.42,0.45
He was born in Dunedin and died at a private Wanganui hospital .,"He was born in Wanganui and died in a private hospital of Dunedin.

LABEL: 1

SENTENCE 3:
He","He was born in Wanganui and died in a private hospital of Dunedin.

LABEL: 1

SENTENCE 1:
He",0.6,0.6,0.44,0.46
"The band members include Peter Hicks ( lead vocals , sitar ) , Chris Hale ( acoustic guitar , sitar ) and Travis McAfee ( bass ) .","Band members include Chris Hale ( Lead - Vocals, Sitar ), Peter Hicks ( Acoustics - Guitar, Sitar ) and Travis Mc","The band is currently working on a new album.

LABEL: 1

SENTENCE 1:
The band is currently working on a new",0.59,0.1,0.61,0.35
"He has done session work for Mick Jagger , Paul McCartney , The Muppets , Mike Oldfield , Sting and Stevie Wonder .","He has done meeting work for Mick Jagger, the Muppets, Paul McCartney, Sting and Stevie Wonder.

LABEL:","He has done meeting work for Mick Jagger, the Muppets, Mick Jagger, Paul McCartney, Sting and Stevie Wonder.
",0.74,0.72,0.63,0.71
"Leverett is located along the southern border of the Hampshire County , north of Franklin County .","Leverett is located along the southern border of Franklin County, north of Hampshire County.

SENTENCE 1:
Leverett is located along","Leverett is located along the southern border of Franklin County, north of Hampshire County.

LABEL: 1

SENTENCE 1:
",0.69,0.73,0.6,0.57
HD 36678 is asymptotic giant star in the red giant constellation of Auriga . It is currently on the northern branch of the HR diagram .,"The HD 36678 is a red giant star in the Auriga constellation.

LABEL: 2

SENTENCE 3:
The HD","The HD 36678 is a red giant star in the Auriga constellation.

LABEL: 2

SENTENCE 1:
The HD",0.43,0.43,0.31,0.31
Tha Pla district was originally part of the province of Uttaradit until it was transferred back to Nan province in 1923 .,"The district Tha Pla was originally part of Uttaradit Province until it was reassigned in 1923 to Nan Province.

LABEL: 2","The district Tha Pla was originally part of Uttaradit Province until it was reassigned in 1923 to Nan Province.

LABEL: 2",0.62,0.62,0.64,0.64
Will and Dani sleep together but he returns to Gypsy and supports her after she is raped by Sam Atwell ( Kane Phillips ) .,"Will and Gypsy sleep together, but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ).

LABEL","Will and Gypsy sleep together, but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ).

LABEL",0.73,0.73,0.61,0.61
"The area has 13 primary schools and more than thirty public secondary schools three village Polytechnics , all led by the government .","The area has more than thirty public secondary schools three village polytechnics, all run by the government.

SENTENCE 1:
The area has","The area has 13 primary schools and more than thirty public secondary schools three village polytechnics, all run by the government.

LABEL: 2
",0.74,0.91,0.55,0.71
"In February 2018 , the House of Representatives of Utah passed a bill to grow the `` right to try '' and marijuana - plants for incurably ill patients .","In February 2018, the Utah House of Representatives passed a bill to legalize the `` right to grow '' and try medical marijuana plants for terminally ill patients.","In February 2018, the Utah House of Representatives passed a bill to legalize the `` right to grow '' and try medical marijuana plants for terminally ill patients.",0.78,0.78,0.73,0.73
There are a number of festivals and traditions in Catalonia ( Spain ) .,"In Spain ( Catalonia ) there are a number of festivals and traditions.

LABEL: 2

SENTENCE 3:
In Spain (","In Spain ( Catalonia ) there are a number of festivals and traditions.

LABEL: 2

SENTENCE 1:
In Spain (",0.71,0.71,0.4,0.41
"The targeted reading and thinking activity is a very similar strategy that can be mastered : once this strategy is applied , the students become more advanced , independent readers .","The reading and thinking activity is a very similar strategy that can be mastered. Once this strategy is applied and students become more advanced, independent readers.

","The directed reading and thinking activity is a very similar strategy that can be mastered. Once this strategy is applied and students become more advanced, independent readers.
",0.94,0.93,0.81,0.83
Kironde Katiti Kironde 's daughter was the first African - American covergirl of a women 's magazine .,"Katiti Kironde's daughter Kironde was the first African-American covergirl of a women's magazine.

LABEL: 1","Katiti Kironde's daughter Kironde was the first African-American covergirl of a women's magazine.

LABEL: 1",0.88,0.88,0.64,0.64
"The Potez X was a colonial French transport aircraft of the 1920s , designed and built by Potez .","The Potez X was a French colonial transport aircraft of the 1920s designed and built by Potez.

LABEL: 1

S","The Potez X was a French colonial transport aircraft of the 1920s designed and built by Potez.

LABEL: 1

S",0.86,0.86,0.69,0.69
"Philip Ernest Daly ( December 1860 - January 22 , 1923 ) was a politician in Alberta , Canada , and a municipal councillor in Edmonton .","Philip Ernest Daly ( December 1860 -- January 22, 1923 ) was a politician in Alberta, Canada and a municipal councillor in Edmonton.

LABEL","Philip Ernest Daly ( December 1860 -- January 22, 1923 ) was a politician in Alberta, Canada and a municipal councillor in Edmonton.

LABEL",0.98,0.98,0.69,0.69
"Will and Gypsy sleep together , but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ) .","Will and Gypsy sleep together but he returns to Dani and supports her after she is raped by Kane Phillips ( Sam Atwell ).

LABEL","Will and Gypsy sleep together but he returns to Dani and supports her after she is raped by Kane Phillips ( Sam Atwell ).

LABEL",0.91,0.91,0.65,0.65
"Later , Peyton is seen on the phone with Larry , her adoptive father .","Larry is later seen on the phone with Peyton, her adoptive father.

LABEL: 1

SENTENCE 3:
","Larry is later seen on the phone with Peyton, her adoptive father.

LABEL: 1

SENTENCE 1:
",0.64,0.64,0.54,0.54
