completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Two women are under a waterfall.,"Two men cool off under a waterfall.

LABEL: 2

SENTENCE 3:
Two men cool off under a waterfall.","Two men cool off under a waterfall.

LABEL: 2

SENTENCE 1:
Two men cool off under a waterfall.",0.33,0.33,0.51,0.52
Two men are under a waterfall.,"Two men cool off under a waterfall.

LABEL: 1

SENTENCE 1:
Two men cool off under a waterfall.","Two men cool off under a waterfall.

LABEL: 1

SENTENCE 1:
Two men cool off under a waterfall.",0.42,0.42,0.63,0.63
The hose is being used.,"A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.

LABEL: 1
","A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.

LABEL: 1
",0.07,0.07,0.25,0.25
The shirt is red.,"A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.

LABEL: 3
","A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.

LABEL: 3
",0.07,0.07,0.16,0.16
A man is riding a motorcycle through a grassy field.,"A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.

LABEL: 3
","A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.

LABEL: 3
",0.23,0.23,0.18,0.18
A man is spraying water on concrete.,"A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.

LABEL: 1
","A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.

LABEL: 1
",0.31,0.31,0.42,0.42
the man and his son were watching a parade,"A man and his son riding bikes down the sidewalk.

LABEL: 2

SENTENCE 3:
A man and his son riding bikes","A man and his son riding bikes down the sidewalk.

LABEL: 3

SENTENCE 3:
A man and his son riding bikes",0.33,0.33,0.46,0.47
a man and a boy were riding bikes through town on the sidewalk,"A man and his son riding bikes down the sidewalk.

LABEL: 1

SENTENCE 1:
A man and his son riding bikes","A man and his son riding bikes down the sidewalk.

LABEL: 1

SENTENCE 1:
A man and his son riding bikes",0.41,0.41,0.57,0.57
The woman has a white shirt on.,"A young woman wearing a white shirt and black pants is holding a pink purse.

LABEL: 1

SENTENCE 3:
A young","A young woman wearing a white shirt and black pants is holding a pink purse.

LABEL: 1

SENTENCE 1:
An Asian",0.29,0.29,0.22,0.22
The woman is holding a purse.,"A young woman wearing a white shirt and black pants is holding a pink purse.

LABEL: 1

SENTENCE 3:
A young","A young woman wearing a white shirt and black pants is holding a pink purse.

LABEL: 1

SENTENCE 1:
An Asian",0.37,0.37,0.22,0.25
The men are driving cars.,"Three men are working with their bikes in the shoulder of a road.

LABEL: 3

SENTENCE 3:
Three men are working","The men are working with their bikes in the shoulder of a road.

LABEL: 3

SENTENCE 3:
The men are working",0.23,0.23,0.36,0.32
A moving walkway has a group of men riding on it.,"A group of men are riding a moving walkway.

LABEL: 1

SENTENCE 1:
A group of men are riding a","A group of men are riding a moving walkway.

LABEL: 1

SENTENCE 1:
A group of men are riding a",0.52,0.52,0.47,0.47
A group of women are baking in a kitchen.,"A group of men are riding a moving walkway.

LABEL: 2

SENTENCE 3:
A group of men are riding a","A group of men are riding a moving walkway.

LABEL: 2

SENTENCE 1:
A group of men are riding a",0.34,0.34,0.25,0.25
There is a group of people at the airport.,"Six men in airport standing on moving walkway

LABEL: 1

SENTENCE 1:
Six men in airport standing on moving walkway","Six men in airport standing on moving walkway

LABEL: 1

SENTENCE 1:
Six men in airport standing on moving walkway",0.07,0.07,0.56,0.56
Six men are sitting on a park bench.,"Six men in airport standing on moving walkway

LABEL: 1

SENTENCE 3:
Six men in airport standing on moving walkway","The man in the middle of the walkway

LABEL: 3

SENTENCE 3:
The man in the middle of the walkway",0.21,0.0,0.55,0.45
A person is playing football at the stadium.,"A person in a red jacket and a red hard hat stands near a mountain.

LABEL: 2

SENTENCE 3:
A person","A person in a red jacket and a red hard hat stands near a mountain.

LABEL: 3

SENTENCE 3:
A person",0.14,0.14,0.19,0.21
A person is situated near a mountain.,"A person in a red jacket and a red hard hat stands near a mountain.

LABEL: 1

SENTENCE 1:
A person","A person in a red jacket and a red hard hat stands near a mountain.

LABEL: 1

SENTENCE 1:
A person",0.36,0.36,0.37,0.37
The kids are learning.,"Kids work at computers with a teacher's help.

LABEL: 1

SENTENCE 3:
Kids work at computers with a","Kids work at computers with a teacher's help.

LABEL: 1

SENTENCE 1:
Kids work at computers with a",0.09,0.09,0.35,0.37
The kids sit in front of computers.,"Kids work at computers with a teacher's help.

LABEL: 1

SENTENCE 3:
Kids work at computers with a","Kids work at computers with a teacher's help.

LABEL: 1

SENTENCE 1:
Kids work at computers with a",0.15,0.15,0.36,0.38
There is no teacher in the room.,"Kids work at computers with a teacher's help.

LABEL: 2

SENTENCE 3:
Kids work at computers with a","Kids work at computers with a teacher's help.

LABEL: 2

SENTENCE 1:
Kids work at computers with a",0.08,0.08,0.34,0.34
Two men are next to each other.,"The man in the black shirt is showing the man in the orange shirt something that he has for sale.

LABEL: 1

SENTENCE","The man in the black shirt is showing the man in the orange shirt something that he has for sale.

LABEL: 1

SENTENCE",0.0,0.0,0.15,0.15
A man is being served a dish in a restaurant.,"The man in the black shirt is showing the man in the orange shirt something that he has for sale.

LABEL: 2

SENTENCE","The man in the black shirt is showing the man in the orange shirt something that he has for sale.

LABEL: 3

SENTENCE",0.18,0.18,0.18,0.19
A person walks by a cafe.,"A lone person in a long, black trench coat and scarf and carrying a red bag goes past an apparently-closed cafe at night, with the text ""CA","A lone person in a long, black trench coat and scarf and carrying a red bag goes past an apparently-closed cafe at night, with the text ""CA",0.24,0.24,0.3,0.3
"A man walks by an open cafe named ""Cafe De Flo""","A lone person in a long, black trench coat and scarf and carrying a red bag goes past an apparently-closed cafe at night, with the text ""CA","A lone person in a long, black trench coat and scarf and carrying a red bag goes past an apparently-closed cafe at night, with the text ""CA",0.15,0.15,0.34,0.34
A lady is holding an object to contain items while she is behind fruit.,"A woman holding bags behind plantains.

LABEL: 1

SENTENCE 1:
A woman holding bags behind plantains.

","A woman holding bags behind plantains.

LABEL: 1

SENTENCE 1:
A woman holding bags behind plantains.

",0.2,0.2,0.53,0.53
The woman is holding old trashcans to carry various objecs.,"A woman holding bags behind plantains.

LABEL: 1

SENTENCE 3:
A woman holding bags behind plantains.

","A woman holding bags behind plantains.

LABEL: 3

SENTENCE 3:
A woman holding bags behind plantains.

",0.15,0.15,0.46,0.47
The guy chased his dog down the street.,"Three soccer players, two in orange one in yellow, running for the ball on a soccer field.

LABEL: 3

SENTENCE 3","A soccer player, two in orange one in yellow, running for the ball on a soccer field.

LABEL: 3

SENTENCE 3",0.07,0.07,0.11,0.12
There are some players chasing a ball.,"Two soccer players, one in orange one in yellow, running for the ball on a soccer field.

LABEL: 1

SENTENCE 3","A soccer player, two in orange one in yellow, running for the ball on a soccer field.

LABEL: 1

SENTENCE 1",0.14,0.14,0.23,0.26
A man sitting on the floor with pictures around him.,"A man is sitting on the floor and is surrounded by pictures.

LABEL: 1

SENTENCE 1:
A man is sitting on","A man is sitting on the floor and is surrounded by pictures.

LABEL: 1

SENTENCE 1:
A man is sitting on",0.45,0.45,0.51,0.51
A man sitting on the floor with photographs around him.,"A man is sitting on the floor and is surrounded by pictures.

LABEL: 1

SENTENCE 1:
A man is sitting on","A man is sitting on the floor and is surrounded by pictures.

LABEL: 1

SENTENCE 1:
A man is sitting on",0.39,0.39,0.51,0.51
A man sitting on a barren floor.,"A man is sitting on the floor and is surrounded by pictures.

LABEL: 2

SENTENCE 3:
A man is sitting on","A man is sitting on the floor and is surrounded by pictures.

LABEL: 3

SENTENCE 3:
A man is sitting on",0.36,0.36,0.32,0.32
A woman is checking out papers.,"a man in a brown shirt and a brown tie looking at a woman in a brown dress.

LABEL: 1

SENTENCE 3:","a man in a brown shirt and a brown tie looking at papers in front of a class.

LABEL: 1

SENTENCE 1:",0.14,0.14,0.06,0.08
A woman in a brown dress is a murderous clown at a birthday party.,"a woman in a brown dress looking at papers in front of a class.

LABEL: 2

SENTENCE 3:
a woman in","a woman in a brown dress looking at papers in front of a class.

LABEL: 3

SENTENCE 3:
a woman in",0.46,0.46,0.21,0.22
A group of students are taking naps.,"The presentation is being shown to a classroom of mostly men.

LABEL: 3

SENTENCE 3:
The presentation is being shown to","The presentation is about the importance of being a good listener.

LABEL: 3

SENTENCE 3:
The presentation is about the importance",0.14,0.07,0.28,0.33
The college class of mostly females watched a presentation.,"A classroom of mostly men is being shown a presentation.

LABEL: 1

SENTENCE 3:
A classroom of mostly women is being","A classroom of mostly women is being shown a presentation.

LABEL: 1

SENTENCE 1:
A classroom of mostly women is being",0.27,0.27,0.35,0.42
The class of mostly females watched a presentation.,"A classroom of mostly men is being shown a presentation.

LABEL: 1

SENTENCE 3:
A classroom of mostly women is being","A classroom of mostly women is being shown a presentation.

LABEL: 1

SENTENCE 1:
A classroom of mostly women is being",0.28,0.28,0.39,0.45
A swimmer is swimming,"A swimmer is performing the breaststroke in an outdoor swimming pool set up for a competition.

LABEL: 1

SENTENCE 3:","A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition.

LABEL: 1

SENTENCE 1:",0.33,0.33,0.22,0.22
A man is riding a bike,"A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition.

LABEL: 2

SENTENCE 3:","A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition.

LABEL: 3

SENTENCE 3:",0.23,0.23,0.06,0.1
A woman holding her sleeping son while walking down the street.,"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.

LAB","A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.

S",0.21,0.21,0.33,0.34
A woman holding her sleeping son looks out a window.,"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.

LAB","A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.

LAB",0.27,0.27,0.47,0.47
The group of people are walking on the sidewalk in the city.,"Band plays in tight quarters.

LABEL: 1

SENTENCE 3:
Band plays in tight quarters.

LABEL: 2","The band plays in tight quarters.

LABEL: 3

SENTENCE 3:
The band plays in tight quarters.

LABEL",0.07,0.21,0.41,0.46
The band is playing.,"Band plays in tight quarters.

LABEL: 1

SENTENCE 3:
Band plays in tight quarters.

LABEL: 2","The band plays in tight quarters.

LABEL: 1

SENTENCE 1:
The band plays in tight quarters.

LABEL",0.1,0.19,0.57,0.58
Three women sit together.,"Three women sit together near woven walls.

LABEL: 1

SENTENCE 1:
Three women sit together near woven walls.

","Three women sit together near woven walls.

LABEL: 1

SENTENCE 1:
Three women sit together near woven walls.

",0.36,0.36,0.68,0.68
The three bar tenders work hard pouring drinks.,"Three women sit together near woven walls.

LABEL: 3

SENTENCE 3:
Three women sit together near woven walls.

","The women sit together near woven walls.

LABEL: 3

SENTENCE 3:
The women sit together near woven walls.

",0.08,0.08,0.49,0.47
Musicians are playing their instruments at a venue,"A band playing on stage in a club.

LABEL: 1

SENTENCE 1:
A band playing on stage in a club.","A band playing on stage in a club.

LABEL: 1

SENTENCE 1:
A band playing on stage in a club.",0.14,0.14,0.6,0.6
The stage crew is cleaning the stage,"A band playing on stage in a club.

LABEL: 1

SENTENCE 3:
A band playing on stage in a club.","A band playing on stage in a club.

LABEL: 2

SENTENCE 1:
A band playing on stage in a club.",0.15,0.15,0.49,0.49
A woman performs for the crowd.,"A blond woman in a white shirt demonstrates her talents to a crowd.

LABEL: 1

SENTENCE 1:
A blond woman in","A blond woman in a white shirt demonstrates her talents to a crowd.

LABEL: 1

SENTENCE 1:
A blond woman in",0.22,0.22,0.37,0.37
The woman is a street performer.,"A blond woman in a white shirt demonstrates her talents to a crowd.

LABEL: 1

SENTENCE 1:
A blond woman in","A blond woman in a white shirt demonstrates her talents to a crowd.

LABEL: 1

SENTENCE 1:
A blond woman in",0.15,0.15,0.3,0.3
A dark haired kid dances for the crowd.,"A blond woman in a white shirt demonstrates her talents to a crowd.

LABEL: 1

SENTENCE 3:
A blond woman in","A blond woman in a white shirt demonstrates her talents to a crowd.

LABEL: 3

SENTENCE 3:
A blond woman in",0.14,0.14,0.28,0.28
Three young giraffes are playing soccer in the beach wearing shorts,"The young men are playing soccer in the beach wearing shorts and beach attire while some people watch

LABEL: 3

SENTENCE 3:","The young men are playing soccer in the beach wearing shorts and beach attire while some people watch

LABEL: 3

SENTENCE 3:",0.55,0.55,0.35,0.35
Three young men are playing soccer in the beach wearing shorts,"The young men are playing soccer in the beach wearing shorts and beach attire while some people watch

LABEL: 1

SENTENCE 3:","The young men are playing soccer in the beach wearing shorts and beach attire while some people watch

LABEL: 1

SENTENCE 1:",0.61,0.61,0.39,0.37
An astronaut training underwater.,"A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.

LABEL: 1

SENTENCE 3","A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.

LABEL: 1

SENTENCE 1",0.15,0.15,0.24,0.25
An astronaut working with an alien to repair a satellite.,"A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.

LABEL: 2

SENTENCE 3","A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.

LABEL: 3

SENTENCE 3",0.19,0.19,0.21,0.23
A human working,"A worker is doing a job on scaffolding.

LABEL: 1

SENTENCE 1:
A worker is doing a job on scaff","A worker is doing a job on scaffolding.

LABEL: 1

SENTENCE 1:
A worker is doing a job on scaff",0.09,0.09,0.43,0.43
Nobody is working,"A worker is doing a job on scaffolding.

LABEL: 2

SENTENCE 3:
A worker is doing a job on scaff","A worker is doing a job on scaffolding.

LABEL: 3

SENTENCE 3:
A worker is doing a job on scaff",0.09,0.09,0.43,0.45
The guy is on a rock with a skateboard.,"A man gets a skateboard up on a big rock.

LABEL: 1

SENTENCE 1:
A man gets a skateboard","A man gets a skateboard up on a big rock.

LABEL: 1

SENTENCE 1:
A man gets a skateboard",0.36,0.36,0.52,0.52
The rock is on a skateboard.,"A man gets a skateboard up on a big rock.

LABEL: 1

SENTENCE 3:
A man gets a skateboard","A man gets a skateboard up on a big rock.

LABEL: 3

SENTENCE 3:
A man gets a skateboard",0.24,0.24,0.41,0.42
The skateboarder is near a rock.,"A man gets a skateboard up on a big rock.

LABEL: 1

SENTENCE 1:
A man gets a skateboard","A man gets a skateboard up on a big rock.

LABEL: 1

SENTENCE 1:
A man gets a skateboard",0.16,0.16,0.45,0.45
A man is eaten by a shark.,"A man is steering his ship out at sea.

LABEL: 2

SENTENCE 3:
A man is steering his ship out at","A man is steering his ship out at sea.

LABEL: 3

SENTENCE 3:
A man is steering his ship out at",0.29,0.29,0.4,0.42
A man pilots his boat.,"A man is steering his ship out at sea.

LABEL: 1

SENTENCE 1:
A man is steering his ship out at","A man is steering his ship out at sea.

LABEL: 1

SENTENCE 1:
A man is steering his ship out at",0.23,0.23,0.52,0.52
Men taking pictures of women at the beach.,"A woman taking a picture of a second woman as she leans on a table.

LABEL: 1

SENTENCE 3:
A","A man taking a picture of a woman as she leans on a table.

LABEL: 1

SENTENCE 1:
A man",0.14,0.14,0.14,0.28
Women taking pictures of each other.,"A man taking a picture of a woman as she leans on a table.

LABEL: 1

SENTENCE 3:
A man","A man taking a picture of a woman as she leans on a table.

LABEL: 1

SENTENCE 1:
A man",0.15,0.15,0.24,0.25
The ledge is made of a hard substance.,"A man wearing black pants rides along a concrete ledge on rollerblades.

LABEL: 1

SENTENCE 1:
A man","A man wearing black pants rides along a concrete ledge on rollerblades.

LABEL: 1

SENTENCE 1:
A man",0.15,0.15,0.23,0.23
The roller blade wheels are square.,"A man wearing black pants rides along a concrete ledge on rollerblades.

LABEL: 1

SENTENCE 3:
A man","A man wearing black pants rides along a concrete ledge on rollerblades.

LABEL: 3

SENTENCE 3:
A man",0.0,0.0,0.2,0.22
The players are playing rugby.,"A game of rugby in which 2 players are attempting to stop their opponent from catching a ball in midair.

LABEL: 1

SENT","A game of rugby in which 2 players are attempting to stop their opponent from catching a ball in midair.

LABEL: 1

SENT",0.14,0.14,0.25,0.25
The players are playing basketball.,"A game of rugby in which 2 players are attempting to stop their opponent from catching a ball in midair.

LABEL: 2

SENT","The ball is caught by the opponent.

LABEL: 3

SENTENCE 3:
The ball is caught by the opponent.

",0.14,0.09,0.16,0.52
A dog tries out frozen water.,"Dog running through the snow.

LABEL: 1

SENTENCE 3:
Dog running through the snow.

LABEL: 2","Dog running through the snow.

LABEL: 3

SENTENCE 3:
Dog running through the snow.

LABEL: 4",0.09,0.09,0.52,0.51
The dog is swimming.,"Dog running through the snow.

LABEL: 1

SENTENCE 3:
Dog running through the snow.

LABEL: 2","Dog running through the snow.

LABEL: 3

SENTENCE 3:
Dog running through the snow.

LABEL: 4",0.2,0.2,0.55,0.55
The woman is in her teens.,"An elderly woman is sitting in a chair on one side of a room with a group of musicians, including a cellist and guitar player, and on the other","The elderly woman is sitting in a chair on one side of the room with a group of musicians, including a cellist and guitar player, and on the other",0.17,0.23,0.26,0.26
A woman is sitting in a chair.,"An elderly woman is sitting in a chair on one side of a room with a group of musicians, including a cellist and guitar player, and on the other","An elderly woman is sitting in a chair on one side of a room with a group of musicians, including a cellist and guitar player, and on the other",0.33,0.33,0.42,0.42
people watch men in kilts,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.

LABEL: 1

SENT","A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.

LABEL: 1

SENT",0.3,0.3,0.26,0.26
a cow moo's,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.

LABEL: 1

SENT","A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.

LABEL: 3

SENT",0.08,0.08,0.13,0.13
A man is dancing thru the field.,"A man wearing a kilt has thrown a large pole.

LABEL: 2

SENTENCE 3:
A man wearing a kilt","A man wearing a kilt has thrown a large pole.

LABEL: 2

SENTENCE 1:
A man wearing a kilt",0.15,0.15,0.32,0.32
A person threw a pole.,"A man wearing a kilt has thrown a large pole.

LABEL: 1

SENTENCE 1:
A man wearing a kilt","A man wearing a kilt has thrown a large pole.

LABEL: 1

SENTENCE 1:
A man wearing a kilt",0.25,0.25,0.46,0.46
A man is wearing a skirt.,"A man wearing a kilt has thrown a large pole.

LABEL: 1

SENTENCE 1:
A man wearing a kilt","A man wearing a kilt has thrown a large pole.

LABEL: 1

SENTENCE 1:
A man wearing a kilt",0.32,0.32,0.29,0.29
Kids are sightseeing,"Kids out in front of a building doing sightseeing.

LABEL: 1

SENTENCE 1:
Kids out in front of","Kids out in front of a building doing sightseeing.

LABEL: 1

SENTENCE 1:
Kids out in front of",0.19,0.19,0.4,0.4
The kids are in a classroom,"Kids out in front of a building doing sightseeing.

LABEL: 2

SENTENCE 3:
Kids out in front of","Kids out in front of a building doing sightseeing.

LABEL: 3

SENTENCE 3:
Kids out in front of",0.25,0.25,0.29,0.31
A woman is crying.,"A man is lying on his back on a white pillow and crying.

LABEL: 1

SENTENCE 3:
A woman is lying","A woman is lying on her stomach on a white pillow and crying.

LABEL: 1

SENTENCE 1:
A woman is lying",0.24,0.32,0.27,0.36
A naked man in a bar.,"A woman is lying on her stomach on a white pillow and crying.

LABEL: 2

SENTENCE 3:
A woman is lying","A woman is lying on her stomach on a white pillow and crying.

LABEL: 3

SENTENCE 3:
A woman is lying",0.15,0.15,0.25,0.27
The women are beating each other up with their bare fists.,"Women in red are performing with nun-chucks.

LABEL: 2

SENTENCE 3:
Women in red are performing with nun","Women in red are performing with nun-chucks.

LABEL: 3

SENTENCE 3:
Women in red are performing with nun",0.2,0.2,0.35,0.37
Women are wielding nun-chucks.,"Women in red are performing with nun-chucks.

LABEL: 1

SENTENCE 1:
Women in red are performing with nun","Women in red are performing with nun-chucks.

LABEL: 1

SENTENCE 1:
Women in red are performing with nun",0.33,0.33,0.5,0.5
2 women are talking,"Six men in tuxedos stand next to a black metal fence outside the back doors of a marble building.

LABEL: 3

S","The men are all wearing tuxedos.

LABEL: 3

SENTENCE 3:
The men are all wearing tuxed",0.0,0.1,0.13,0.42
Sin men are in tuxedos,"Six men in tuxedos stand next to a black metal fence outside the back doors of a marble building.

LABEL: 1

S","Six men in tuxedos stand next to a black metal fence outside the back doors of a marble building.

LABEL: 1

S",0.22,0.22,0.2,0.2
The young boy went swimming.,"A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.

LABEL: 1

SENTENCE","A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.

LABEL: 3

SENTENCE",0.15,0.15,0.21,0.22
The roller coaster ride is empty.,"This is a twisting, turning roller coaster ride, filled with people.

LABEL: 2

SENTENCE 3:
This is a","I am a very happy person.

LABEL: 2

SENTENCE 1:
I am a very happy person.

LABEL",0.33,0.0,0.3,0.39
The roller coaster ride is filled with people.,"This is a twisting, turning roller coaster ride, filled with people.

LABEL: 1

SENTENCE 1:
This is a","This is a twisting, turning roller coaster ride, filled with people.

LABEL: 1

SENTENCE 1:
This is a",0.46,0.46,0.36,0.36
A man is riding a unicycle.,A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on,A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on,0.24,0.24,0.34,0.34
A man is holding a unicycle in a curious manner.,A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on,A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on,0.22,0.22,0.39,0.39
A kid is practicing.,"kid practicing karate move

LABEL: 1

SENTENCE 1:
kid practicing karate move

LABEL: 2

","kid practicing karate move

LABEL: 1

SENTENCE 1:
kid practicing karate move

LABEL: 2

",0.22,0.22,0.51,0.51
A man is practicing a karate move.,"kid practicing karate move

LABEL: 2

SENTENCE 3:
kid practicing karate move

LABEL: 3

","kid practicing karate move

LABEL: 2

SENTENCE 1:
kid practicing karate move

LABEL: 2

",0.29,0.29,0.58,0.66
The young man is 60 years old.,"A young man waits on a bench with his bag behind a few advertisements in London.

LABEL: 1

SENTENCE 3:
A","A young man waits on a bench with his bag behind a few advertisements in London.

LABEL: 3

SENTENCE 3:
A",0.14,0.14,0.17,0.2
The kids are at the beach in the sand.,"Some children are playing soccer in front of a large wooden door.

LABEL: 1

SENTENCE 3:
Some children are playing soccer","Some children are playing soccer in front of a large wooden door.

LABEL: 3

SENTENCE 3:
Some children are playing soccer",0.13,0.13,0.36,0.39
The kids are playing soccer.,"Some children are playing soccer in front of a large wooden door.

LABEL: 1

SENTENCE 1:
Some children are playing soccer","Some children are playing soccer in front of a large wooden door.

LABEL: 1

SENTENCE 1:
Some children are playing soccer",0.23,0.23,0.45,0.45
There is a light show.,"Rock band on stage immersed in light show.

LABEL: 1

SENTENCE 1:
Rock band on stage immersed in light show.","Rock band on stage immersed in light show.

LABEL: 1

SENTENCE 1:
Rock band on stage immersed in light show.",0.16,0.16,0.65,0.65
All of the lights are dimmed.,"Rock band on stage immersed in light show.

LABEL: 1

SENTENCE 3:
Rock band on stage immersed in light show.","Rock band on stage immersed in light show.

LABEL: 3

SENTENCE 3:
Rock band on stage immersed in light show.",0.0,0.0,0.59,0.6
Sasquatch is strumming a wicked bass solo.,"The guitarist, drummer, and another band member are performing on stage with red lights on the background.

LABEL: 3

SENTENCE 3","The guitarist, drummer, and another band member are performing on stage with red lights on the background.

SENTENCE 1:
A guitarist, a",0.0,0.07,0.18,0.22
A football player is holding a ball.,"The Sooner football player carrying the ball is trying to avoid being tackled.

LABEL: 1

SENTENCE 3:
The Soon","The Sooner football player carrying the ball is trying to avoid being tackled.

SENTENCE 1:
The Sooner football player carrying the ball",0.23,0.28,0.27,0.46
A man has dropped a ball.,"The Sooner football player carrying the ball is trying to avoid being tackled.

LABEL: 2

SENTENCE 3:
The Soon","The Sooner football player carrying the ball is trying to avoid being tackled.

SENTENCE 1:
The Sooner football player carrying the ball",0.08,0.07,0.24,0.41
"The woman is running down the path, jogging with earphones in her ears.","A woman with a black purse and a red coat is sitting on a pillar of concrete.

LABEL: 1

SENTENCE 3:
","A woman with a black purse and a red coat is sitting on a pillar of concrete.

LABEL: 3

SENTENCE 3:
",0.12,0.12,0.17,0.18
There is one woman in this picture.,"A woman with a black purse and a red coat is sitting on a pillar of concrete.

LABEL: 1

SENTENCE 1:
","A woman with a black purse and a red coat is sitting on a pillar of concrete.

LABEL: 1

SENTENCE 1:
",0.07,0.07,0.22,0.22
"A group of people are standing around with smiles are their faces, and in the background are more people and handmade signs.","A group of people standing around smiling, and in the background are more people and handmade signs.

LABEL: 1

SENTENCE 3","A group of people standing around smiling, and in the background are more people and handmade signs.

LABEL: 1

SENTENCE 1",0.74,0.74,0.61,0.63
There is a group of people standing around and smiling.,"A group of people standing around smiling, and in the background are more people and handmade signs.

LABEL: 1

SENTENCE 3","A group of people standing around smiling, and in the background are more people and handmade signs.

LABEL: 1

SENTENCE 1",0.45,0.45,0.37,0.39
The moment the fan saw the light,"A concert with a blue shirted boy in the front and light shining in the back

LABEL: 3

SENTENCE 3:
A","A concert with a blue shirted boy in the front and light shining in the back

LABEL: 3

SENTENCE 3:
A",0.14,0.14,0.23,0.23
The moment has it's fan,"A concert with a blue shirted boy in the front and light shining in the back

LABEL: 3

SENTENCE 3:
A","A concert with a blue shirted boy in the front and light shining in the back

LABEL: 3

SENTENCE 3:
A",0.07,0.07,0.14,0.14
The man is eating a taco in the middle of the ocean.,"A man in a shirt and tie speaks to a group as an older woman holding a cup of coffee looks on.

LABEL: 2

S","A man in a shirt and tie speaks to a group as an older woman holding a cup of coffee looks on.

LABEL: 3

S",0.16,0.16,0.18,0.19
A boy is standing in sand.,"A little boy with a shirt, shorts and socks on, standing on the beach.

LABEL: 1

SENTENCE 1:
A","A little boy with a shirt, shorts and socks on, standing on the beach.

LABEL: 1

SENTENCE 1:
A",0.24,0.24,0.33,0.33
A group of men are indoors watching football while it snows outside.,"The woman on the motorcycle is talking to the woman sitting on the motorcycle.

LABEL: 3

SENTENCE 3:
The woman on","The woman on the motorcycle is wearing a red dress.

LABEL: 3

SENTENCE 3:
The woman on the motorcycle is wearing",0.0,0.06,0.17,0.28
Three women are talking and there is a woman on a motorcyle.,"Three women talk to each other next to another woman sitting on a motorcycle.

LABEL: 1

SENTENCE 1:
Three women talk","A man sits on a motorcycle next to a woman.

LABEL: 1

SENTENCE 1:
A man sits on a motorcycle next",0.3,0.24,0.56,0.34
A man is in his house.,"Female wearing black t-shirt and black shorts in her bedroom with her feet on the desk talking on the phone.

LABEL: 1

S","Male wearing brown shorts and black t-shirt in his bedroom with his feet on the desk talking on the phone.

LABEL: 1

S",0.07,0.13,0.18,0.29
A man is laying on the couch as he talks on the phone.,"Male wearing brown shorts and black t-shirt in his bedroom with his feet on the desk talking on the phone.

LABEL: 2

S","Male wearing brown shorts and black t-shirt in his bedroom with his feet on the desk talking on the phone.

LABEL: 3

S",0.27,0.27,0.34,0.35
The officers are outside.,"A group of uniformed officers in a street wearing a mixture of gas masks and face shields.

LABEL: 1

SENTENCE 3:","A group of uniformed officers in a street wearing a mixture of gas masks and face shields.

LABEL: 1

SENTENCE 1:",0.08,0.08,0.18,0.16
The cops are sitting in a donut shop.,"A group of uniformed officers in a street wearing a mixture of gas masks and face shields.

LABEL: 3

SENTENCE 3:","A group of uniformed officers in a street wearing a mixture of gas masks and face shields.

LABEL: 3

SENTENCE 3:",0.14,0.14,0.13,0.13
A restaurant is preparing and serving grilled food.,"Street vendors preparing and serving grilled food.

LABEL: 1

SENTENCE 3:
Street vendors preparing and serving grilled food.

","Street vendors preparing and serving grilled food.

LABEL: 3

SENTENCE 3:
Street vendors preparing and serving grilled food.

",0.38,0.38,0.6,0.62
