completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
the vehicle has wheels," 2:
I was very much afraid of being sick, but I was not.

LABEL: 3

SENTENCE 3:
I"," and be a nuisance.<br>I'm very fond of them, and I'm sure they are fond of me.<br>I '",0.0,0.0,0.09,0.12
Tom woke up to a lot of complaints two days later.,Tom was drunk. He decided to get on Facebook. He posted a lot of regretful things. The next day he woke up to a lot of complaints.,Tom was drunk. He decided to get on Facebook. He posted a lot of regretful things. The next day he woke up to a lot of complaints.,0.42,0.42,0.57,0.57
Jim's grandfather was felling well. ,"Jim's grandfather was feeling better.

LABEL: 3

SENTENCE 3:
Jim's grandfather was feeling better.

LABEL",A Sad Man<br>Jim's grandfather had been sick. His family decided to put him in a home. Jim's grandfather was feeling blue. Jim started,0.35,0.24,0.61,0.37
Suzy wanted something that would tell time.,"She was so happy. She wore it all the time.

LABEL: 1

SENTENCE 1:
New smart watch<br>",New smart watch<br>It was Christmas time. Suzy really wanted a new watch. She begged for one for Christmas. But her parents said no initially,0.08,0.12,0.23,0.44
Ann did not keep on driving.,"Ann was lost in the woods. She was walking in the woods. She saw a person. The person was walking into the woods.

LABEL:",Ann was driving down a dark road. She hit something large. When she stopped her car she saw a person. The person was walking into the woods. Ann,0.07,0.12,0.31,0.39
The man may have been injured,"The man was drunk.

LABEL: 1

SENTENCE 1:
Pole<br>The man drove into a pole. He",The man drove into a pole. He told the cops he hadn't seen it. The cops gave him a sobriety test. The man did not pass,0.17,0.12,0.21,0.29
Marilla did not say everything she felt. ,". ''<br>SENTENCE 2:
I just let my thoughts run and I thought of the most surprising things. ''<br>Marilla"," sermons, were true. ''

SENTENCE 2:
I just let my thoughts run and I thought of the most surprising things. ''<",0.08,0.0,0.35,0.29
My family was on Vacation in a place that they chose,The water was cloudy<br>We were on vacation in Florida. We had decided to spend the day taking a glass bottom boat tour. We got on,".0

SENTENCE 2:
The bottom of the sea<br>My family was on vacation in Florida. We had decided to spend the",0.26,0.36,0.34,0.28
Tom intended to wake up shortly after falling asleep.,Tom woke up<br>Tom woke up from his long nap. He was very tired. He decided to take a short afternoon nap. Tom didn't wake,The Longest Nap<br>Tom was tired from work. He decided to take a short afternoon nap. Tom didn't wake up right away. His nap,0.17,0.23,0.49,0.45
"If you divide dozen by two and divide that number by three, you get the exact number of chilies that John ate",John hated chilies. But John never backed down from a dare. One day his brother dared him to eat two big chilies. John accepted and eat the,John hated chilies. But John never backed down from a dare. One day his brother dared him to eat two big chilies. John accepted and eat the,0.12,0.12,0.26,0.26
John was working as a teacher.,John was devastated. He had spent six months writing a novel that was terrible. He was so upset that he decided to take a break from writing. He went," 2:
John wanted to write a novel. He took a six month sabbatical from his teaching position. John wrote and wrote for several months straight",0.17,0.13,0.3,0.37
Ray had a father,"Source<br>Ray grabbed a pair of pants to wear for the day. He noticed there was a big red stain on them. Upon further investigation, he","ENTENCE 2:
Source<br>Ray grabbed a pair of pants to wear for the day. He noticed there was a big red stain on them.",0.13,0.14,0.23,0.2
tom is likely a human male,Buzz<br>Tom wanted to enlist in the military. Before he applied he thought about what he could do to help. He wanted to improve his,Buzz<br>Tom wanted to enlist in the military. Before he applied he thought about what he could do to help. He wanted to improve his,0.06,0.06,0.24,0.24
Will earned more money.,Will has sold over one hundred of his photographs!<br>Will took classes on how to properly use the camera. Will took trips during which he photographed people," 2:
Pictures!<br>Will bought himself a really nice camera. Will took classes on how to properly use the camera. Will took trips during",0.06,0.07,0.41,0.18
the couple was not seeing eye-to-eye,The couple had been fighting a lot. They went to a therapist to talk through their issues. The therapist helped them talk about things more calmly. They were feeling," 2:
The couple had been fighting a lot. They went to a therapist to talk through their issues. The therapist helped them talk about things more calmly.",0.16,0.17,0.35,0.33
Nelson almost died when he fell in the water.,"Boat<br>Nelson was a sailor. He loved to sail on boats. He enjoyed the wind on his face. After many rides, he fell"," 2:
Boat<br>Nelson loved to ride on boats. He enjoyed the wind on his face. After many rides, he fell off the",0.18,0.25,0.38,0.31
A fox was killing chickens.,Farmer Ben's chickens kept disappearing every week. He suspected that foxes were sneaking into his farm at night. Farmer Ben set some fox traps and waited,":
The label for this task is:

SENTENCE 2:
Farmer Ben's chickens kept disappearing every week. He suspected that foxes",0.06,0.08,0.37,0.25
Laptop batter is dead,"I plugged the charger in. The computer turned back on. I was able to use the computer.

LABEL: 1

SENTENCE",Battery Power<br>My laptop lost its power. I took found its charger. I plugged the charger in. The computer turned back on.,0.0,0.07,0.17,0.42
The rain made them have to change plans.,Shirley had a cook-out<br>Shirley had a cook-out for her friends. She invited them over to her house. She,".

SENTENCE 2:
Shirley wanted to add a deck to the back of her house. She asked all of her friends to come",0.13,0.13,0.32,0.18
Fred could use some help cooking,"Baker<br>Fred was learning how to bake bread. But at first, he struggled. So he bought a book on bread baking. The book helped","Baker<br>Fred was learning how to bake bread. But at first, he struggled. So he bought a book on bread baking. The book helped",0.06,0.06,0.39,0.39
It was difficult for him to see.,"I had to go to the doctor and get new glasses.

LABEL: 1

SENTENCE 1:
Blinded<br>","
SENTENCE 2:
Blinded<br>I started the sixth grade feeling good. When I got to history class, I had to sit",0.08,0.07,0.27,0.23
 Priscilla wasn't fully aware of what happened with alec,"ied the mother.<br>`` They were both very angry, ''<br>said the boy.<br>`` They were both very angry,"," do? ''<br>`` He didn't do anything. He just stood there. ''<br>

SENTENCE 2:
But",0.0,0.08,0.43,0.15
"Because Collin was so sweet and kind, the kids baked cookies for him","
SENTENCE 2:
Colin was very kind to the family while he worked on their house.

SENTENCE 1:
Sweet Work"," work, the children made him a cake. The cake was a chocolate cake with chocolate icing. The cake was decorated with a picture of a house. The",0.19,0.1,0.47,0.17
Laura got many $1 bills,Remodeling<br>Laura went to the bank to remodel her house. She filled out a withdrawal slip for $9000.00. The,":
The label for this instance is:

SENTENCE 2:
Laura went to the bank to withdraw money. She filled out a withdrawal",0.08,0.08,0.33,0.39
She had never had a bad weekend,"She was in so much pain that she could not move. She was immobile.

LABEL: 3

SENTENCE 3:
She","

SENTENCE 2:
She was so miserable that she could not move. She begged the dentist to see her over the weekend. She finally was",0.08,0.13,0.15,0.19
The clown was fired because Jane's parents couldn't afford to pay for a clown and a cake.,"Jane was sad. The clown was fired.

LABEL: 1

SENTENCE 1:
clown<br>Jane had a birthday",Jane had a birthday party coming up. Her parents bought her a cake. Her parents also hired a clown. The clown make offensive comments to Jane. Jane was,0.33,0.17,0.29,0.33
He found a different girlfriend.,He was alone. He was sad. He was lonely. He was sad. He was sad. He was sad. He was sad. He was sad.,"SENTENCE 2:
He didn't know how to earn her love back. He sent her a forlorn letter expressing his sadness. He told her",0.07,0.14,0.44,0.28
Kent loved other animals more than Charlie,"The Pig<br>Charlie was Kent's pet pig. He loved having him around the house.

LABEL: 3

SENTENCE 3",The Pig<br>Kent loved animals. He especially loved his pet pig. The pig was named Charlie and he was big and fat. Kent took great,0.15,0.24,0.25,0.42
Her friend took her to a salon.,Lucy's friend helped her<br>Lucy's friend helped her to curl her hair. She needed to know how to do it. She asked her,Lucy really wanted to curl her hair. She needed to know how to do it. She asked her friend to help her. Her friend agreed and said yes,0.24,0.17,0.44,0.37
"He called customer service, so that he could buy something.",John bought a new camera. It broke within a couple of months. He called customer service to get things resolved. They were no help at all. John never,John bought a new camera. It broke within a couple of months. He called customer service to get things resolved. They were no help at all. John never,0.21,0.21,0.35,0.35
Susan stays home in the morning about half the time.," I should feel like going to church. ''

SENTENCE 2:
Susan announced that she meant to stay home that morning -- a rare decision",", I would feel like a hypocrite. ''

SENTENCE 2:
Susan announced that she meant to stay home that morning -- a rare",0.19,0.2,0.32,0.25
He overslept and missed the flight.,"The military was just conducting practice runs.

LABEL: 3

SENTENCE 3:
I was grumpy, and tried to block out","The planes flying overhead woke me up. I was grumpy, and tried to block out the noise. Eventually I started to worry about it. I got up",0.08,0.12,0.2,0.37
Kate's mom likely did not know how to paint.,Kate's mom was painting the living room. Her mom was eager and began talking about the paint. Kate didn't want to spend the day painting. Kate sl,"

SENTENCE 2:
Kate's mom was painting the living room. Her mom was eager and began talking about the paint. Kate didn't want",0.21,0.24,0.35,0.38
The speaker wanted to continue what they were doing.,":
SENTENCE 2:
I was sick of the place and the work and the smell of the dead bodies.

SENTENCE 2:"," fancy to the doctor's life.

SENTENCE 2:
I began to envy the doctor walking in the cool shadow of the woods with the birds",0.07,0.12,0.33,0.3
The iguana did not want to eat the seedlings.,"
Iguana and the Greens<br>I have a free-range iguana. She runs around the house doing whatever she wants. This spring"," them.

SENTENCE 2:
Iguana and the Greens<br>I have a free-range iguana. She runs around",0.19,0.15,0.33,0.26
Reminding him of a sleet Rose she did,"She is just a perfect angel, while I am only angelic in spots and demonic in other spots.<br>I wish Walter would take a fancy"," good for him, and I am too good for her.<br>I am not sure I am good for anyone.<br>I am not sure",0.06,0.06,0.21,0.25
Jill never was late twice in a row,Teacher<br>Jill was very late to class one day. She begged the teacher to not punish her. She was always a teacher's pet so,"EL:
The teacher punished Jill heavily.

SENTENCE 2:
Teacher<br>Jill was very late to class one day.",0.24,0.23,0.33,0.38
"Ricky was hauling fresh snow on his sled in order to make a snowman, he was very happy and excited even though he has made many snowmen with his father before",":
Ricky was excited to make his first snowman. He was going to make a snowman with his dad. He was going to make a snow"," his snowman. He was so excited to make his first snowman.

SENTENCE 2:
Ricky was trudging through the snow",0.32,0.24,0.49,0.41
Max tried out for football twice.,Max went to football tryouts for the first time. The coach asked him what position he wanted to play. Max said that he wanted to be quarterback. The,"
The label for this instance is:

0

SENTENCE 2:
Max went to football tryouts for the first time. The coach",0.12,0.15,0.33,0.4
The Mead dog shook Stripey with its enormous jaws and poor Stripey died.," did.<br>But I felt awful thankful, and I felt awful thankful, and I felt awful thankful, and I felt awful thankful, and I felt"," God?<br>I felt awful thankful, and I didn't know why.<br>I felt awful thankful, and I didn't know",0.05,0.06,0.18,0.3
The person ordering and the cashier were both male.,"Val was hungry. She wanted to eat something fast.

LABEL: 3

SENTENCE 3:
Val decided to go to the fast",Val walked up to the counter. She skimmed the menu to make sure she knew what she wanted. The cashier greeted her. Val told him her order,0.07,0.17,0.34,0.46
Ray provoked the gorilla behinds bars.,"Ray was banned from the zoo.

LABEL: 3

SENTENCE 3:
Ray went to the zoo.

LABEL:","

SENTENCE 2:
Zoo<br>Ray went to the zoo. And he saw at the gorilla exhibit. Behind a glass wall",0.18,0.23,0.37,0.41
The cops beat the narrator within an inch of his life,".

SENTENCE 2:
My Roommate Saved Me<br>My roommate saved me by bringing me my wallet.

LAB"," called the police. I was so embarrassed, but the police were nice and let me go.

SENTENCE 2:
My Run In With The",0.0,0.12,0.2,0.11
Check the back seats.,"Use a commercial mold remover to remove the mold.

LABEL: 1

SENTENCE 1:
How to remove mold odors from",Remove mold odors from inside automobiles by using a mixture of baking soda and water. Sprinkle the baking soda on the affected areas and let it sit for a,0.09,0.06,0.31,0.17
"If you are losing stamina in the middle of the afternoon, you could use maca powder to uplift you.",Maca powder is a good source of protein. Maca powder is a good source of protein. Maca powder is a good source of protein. Maca,"

SENTENCE 2:
How to use maca powder<br>Use maca as medicine. As a medicine, both maca root and",0.14,0.16,0.57,0.32
Tinned and dried foods cost money,How to hoard food for an emergency<br>Make sure you have at least £ 300/$490/342 euro's (these are equivalent as of the,"
SENTENCE 2:
How to hoard food for an emergency<br>Make sure you have at least £ 300/$490/342 euro's",0.0,0.0,0.17,0.22
your vinyl flooring can get messed up pretty easily,":
How to clean vinyl flooring<br>Use a doormat to keep the floor clean. The substances you track into your house on your shoes"," and worn.

SENTENCE 2:
How to clean vinyl flooring<br>Use a doormat to keep the floor clean. The",0.12,0.14,0.28,0.13
You need money to invest in an annuity ,How to select annuity payments<br>Decide if a retirement annuity is right for you. Annuities are financial investment options for those who want,"
SENTENCE 2:
How to select annuity payments<br>Decide if a retirement annuity is right for you. Annuities are",0.12,0.15,0.51,0.33
Train tickets can be purchased outside of the train station.,"How to travel from singapore to malaysia by train<br>In malaysia, go to any travel agent that has a sign showing "" train",". The train leaves bangkok at 10:00 pm and arrives in butterworth at 6:00 am. From butterworth, take a bus to georgetown",0.12,0.12,0.3,0.23
Metal is used for human projects.,"How to bend rebar<br>Understand the structural issues possible with manually-bent rebar and know how to avoid them. When you bend metal,","
SENTENCE 2:
How to bend rebar<br>Understand the structural issues possible with manually-bent rebar and know how to avoid",0.07,0.0,0.37,0.29
Shanghai has climate and weather similar to Florida in the US.,Consider shanghai's climate and weather. Shanghai has a climate comparable to that of the united states' southeast coastal states. The spring months of march through may,"
SENTENCE 2:
Consider shanghai's climate and weather. Shanghai has a climate comparable to that of the united states' southeast coastal states.",0.32,0.36,0.32,0.62
Failure to implement the disk cleanup utility will slow down your computer.,"
Perform "" disk cleanup "" regularly.

SENTENCE 2:
Perform "" disk cleanup "" regularly.

LABEL:
Per"," system and maintenance] administrative tools] disk cleanup.

SENTENCE 2:
How to improve your computer performance<br>Perform "" disk cleanup",0.17,0.26,0.35,0.34
Magnesium can be taken in pills,"Magnesium is best absorbed when taken with food.

LABEL: 1

SENTENCE 1:
Magnesium is best absorbed when taken with","Magnesium is a mineral that is important for many functions in the body. It is needed for more than 300 biochemical reactions.

LABEL: 1
",0.16,0.13,0.45,0.24
Once you get approval from the local council build the shelter by the vet .,"How to build a dog house<br>You can build a dog house from scratch, or buy one. If you are building one from scratch, you will","

SENTENCE 2:
How to build an animal shelter<br>Look for a site near a vet, or an easily accessible location. You",0.1,0.17,0.33,0.32
The smoothie can be done with peeled apples,How to make an apple pie smoothie<br>Prepare the apple. Wash one large apple and remove the core. You don't need to peel the,How to make an apple pie smoothie<br>Prepare the apple. Wash one large apple and remove the core. You don't need to peel the,0.06,0.06,0.43,0.43
"If you provide all fake personal contact information to Siri, Siri will not say your real name.",How to get siri to say your name<br>Set your personal contact information. Siri will call you whatever you have listed as your name in your,"
How to get siri to say your name<br>Set your personal contact information. Siri will call you whatever you have listed as your name in",0.32,0.33,0.43,0.43
All of the parts of an instant pot serve a function.,How to use an instant pot<br>Unpack and identify all of the parts. Remove all items from the box and spread them out on a flat surface,How to use an instant pot<br>Unpack and identify all of the parts. Remove all items from the box and spread them out on a flat surface,0.26,0.26,0.51,0.51
Lighting can vary for each performance genre.,How to do stage lighting<br>Know your performance genre and the simple principles behind lighting that genre. A standard play has lots of dialogue. An audiences ability,How to do stage lighting<br>Know your performance genre and the simple principles behind lighting that genre. A standard play has lots of dialogue. An audiences ability,0.17,0.17,0.36,0.36
This piece of advice is speculative.,"How to avoid looking desperate<br>Avoid constantly complaining about your single status. Even if you joke about it, it makes you appear that you are desperate","
0

SENTENCE 2:
How to avoid looking desperate<br>Avoid constantly complaining about your single status. Even if you joke about",0.0,0.0,0.38,0.19
All android phones can make folders,How to make a folder on android<br>Tap and hold an app icon on the home screen. This should be an app that you want to add,":
How to make a folder on android<br>Tap and hold an app icon on the home screen. This should be an app that you want",0.06,0.06,0.45,0.44
Stores can not put whatever they like in advertisements,":
How to sue for false advertising<br>Know the definition of false advertising. False advertising is any advertisement by a store that is likely to mislead"," be false advertising.

SENTENCE 2:
How to sue for false advertising<br>Know the definition of false advertising. False advertising is any",0.0,0.0,0.4,0.29
measurements are crucial when finding supportive garments,How to buy a nursing bra<br>Find a trained professional to measure you to determine the correct bra size. Work with a professional trained in measuring bra sizes,".

SENTENCE 2:
How to buy a nursing bra<br>Find a trained professional to measure you to determine the correct bra size.",0.0,0.0,0.46,0.28
You will need items but some of then start with the letter P," items in the bag. Tie the bag with the ribbon or string. Write a note on the bag.

SENTENCE 2:
How to"," teacher likes.

SENTENCE 2:
How to make a christmas gift for a teacher<br>Assemble the items. Things you will",0.17,0.12,0.21,0.33
All lettuce is not red.,"How to choose the healthiest salad greens<br>Look for low-calorie greens. If your idea of healthy is synonymous with low in calories, you","How to choose the healthiest salad greens<br>Look for low-calorie greens. If your idea of healthy is synonymous with low in calories, you",0.07,0.07,0.28,0.28
You should go for the chiles that are more vivid in color that when you touch it feels almost silky and that has some weight to it. They are best found within stores that specialiaze in grown products,Roast hatch chiles in a hot oven. Place the chiles on a baking sheet and roast them in a hot oven for about 10 minutes. [sub," 2:
Roast hatch chiles<br>Place chiles on a baking sheet and roast in a preheated oven at 400 degrees Fahrenheit for",0.12,0.1,0.21,0.15
These suggestions include acting as your own Valentine's Day chef.,"
How to plan a romantic valentine's day date<br>Make a reservation at a restaurant. If you don't want to cook for your date"," intimate evening.

SENTENCE 2:
How to plan a romantic valentine's day date<br>Cook for your date. Add a",0.16,0.19,0.38,0.37
Sheets and blankets are typically found on beds,"How to clean a bed with vinegar<br>Remove the bedsheets and wash them in the washing machine. Start by stripping the bed of any sheets,","EL:
cleaning_bed_with_baking_soda

SENTENCE 2:
How to clean a bed with baking soda<",0.06,0.0,0.38,0.31
Rock glasses are a set size. ,"EL:
How to drink whiskey

SENTENCE 2:
Pour whiskey into a rocks or tulip glass.

LABEL:
",".

SENTENCE 2:
Pour "" two fingers "" of whiskey into a rocks or tulip glass.

SENTENCE 1:",0.09,0.1,0.33,0.3
the dethorning tool isn't needed for blue roses.,"

SENTENCE 2:
How to create blue roses<br>Gather the necessary materials. To dye the petals through absorption, you will"," be freshly cut from the plant.

SENTENCE 2:
How to create blue roses<br>Gather the necessary materials. To dye the",0.14,0.2,0.37,0.3
BRAIN NEEDS FUN TOO,How to become highly motivated for your job<br>Vary your tasks throughout the day. People tend to lose motivation on the job out of sheer boredom,How to become highly motivated for your job<br>Vary your tasks throughout the day. People tend to lose motivation on the job out of sheer boredom,0.0,0.0,0.34,0.34
"The instructions given here on how to low a bubble with bubble gum are not really any kind of instructions at all, and do not inform the reader of how to actually make and blow the bubble.",How to blow a bubble with a straw<br>Buy a straw. You can buy straws at pretty much every corner store. Chewing gums can,"ENCE 2:
How to blow a bubble with bubblegum<br>Buy some bubblegum. You can buy gum at pretty much every corner store",0.19,0.23,0.24,0.35
You need hands to make a workbench,"ENCE 2:
How to build a simple workbench<br>Start with tools that are needed. You will need a drill, a drill and screw bit"," lumber you can afford.

SENTENCE 2:
How to build a simple workbench<br>Start with tools that are needed. You will",0.19,0.29,0.39,0.42
A memoir is an autobiography,"How to write about your own life<br>Understand the memoir genre. In a memoir, you are the main character of your own life story. Many","How to write about your own life<br>Understand the memoir genre. In a memoir, you are the main character of your own life story. Many",0.13,0.13,0.36,0.36
keeping syringes sterile is of utmost importance,"How to clean a syringe<br>Clean syringes immediately before and after using them. This may seem like a troublesome routine. However, cleaning syringes right"," 2:
How to clean a syringe<br>Clean syringes immediately before and after using them. This may seem like a troublesome routine. However, cleaning",0.06,0.06,0.37,0.35
It is essential to remain focused while swerving,How to swerve or turn quickly on a motorcycle<br>Assess in which direction it is safest to swerve to avoid the obstacle. [sub,":
The label for this instance is:

SENTENCE 2:
How to swerve or turn quickly on a motorcycle<br>Assess",0.19,0.15,0.22,0.27
The local community's support is an ideal way to win votes.,"How to run for mayor<br>Become involved in community initiatives. As mayor, you'll be involved in numerous aspects of the local community. You","How to run for mayor<br>Become involved in community initiatives. As mayor, you'll be involved in numerous aspects of the local community. You",0.16,0.16,0.39,0.39
Some people don't know how much they spend.,":
How to rein in excessive spending<br>Find out what you actually spend. You might be aware of an excessive spend, but how excessive is it"," deductions. Then write down all your expenses, including your mortgage, rent, utilities, food, transportation, clothing, entertainment, and so on.

S",0.11,0.0,0.46,0.15
You will need more than white chocolate pieces to make chocolate truffle hens.,"Heat the mixture over medium heat, stirring constantly, until the chocolate is melted and the mixture is smooth.

LABEL: 1

SENTENCE","How to make chocolate truffle hens<br>Assemble the ingredients and supplies. Check the "" things you'll need "" below for the supplies. Add the",0.06,0.27,0.15,0.38
Someone who becomes an academic has invested a lot of time in their subject.,How to become a professor<br>Learn about being a professor. Someone who pursues a career as a professor often works at a university or research institution in,"
SENTENCE 2:
How to become an academic<br>Learn about being an academic. Someone who pursues an academic career often works at a",0.19,0.27,0.39,0.31
Red wine serving temperature varies according to the type,How to serve white wines<br>Chill white wine to 45-55 ° f (7-13 ° c). Always serve white wine below room temperature,"andel.

SENTENCE 2:
How to serve wines<br>Chill red wine to 53-69 ° f (12-21 °",0.12,0.23,0.46,0.29
soup pot contains a t,"Add the tomatoes, the celery, the carrots, the potatoes, the fennel, the thyme, the bay leaf, the parsley, the wine, the",".0

SENTENCE 2:
Add the tomatoes, the celery, the carrots, the potatoes, the fennel, the thyme, the",0.0,0.0,0.19,0.1
Dermal examinations of your feline should be conducted.,How to recognize skin cancer in dogs<br>Look for lumps or discoloration. Skin cancer usually creates an area on the skin that is discol,"
SENTENCE 2:
How to recognize skin cancer in cats<br>Look for lumps or discoloration. Skin cancer usually creates an area",0.0,0.0,0.38,0.38
Rabbits always need food,"

SENTENCE 2:
How to keep your pets healthy<br>Consult with your pet's veterinarian concerning diets. Every pet needs"," constant supply of food.

SENTENCE 2:
How to keep your pets healthy<br>Consult with your pet's veterinarian concerning",0.0,0.08,0.29,0.19
Disease and pests are detrimental to the plant,":
How to care for a midnight blue rose bush<br>Water the midnight blue rose bush regularly. Watering is the most important part of rose care",".

SENTENCE 2:
How to care for a midnight blue rose bush<br>Pick out midnight blue roses that look healthy. Strong,",0.12,0.07,0.47,0.21
Employers in the past have considered 40-year-olds too old to hire.,How to prove age discrimination in hiring<br>Read up on federal law. Federal law prohibits discrimination in hiring on the basis of age when the applicant is 40,How to prove age discrimination in hiring<br>Read up on federal law. Federal law prohibits discrimination in hiring on the basis of age when the applicant is 40,0.14,0.14,0.5,0.5
If a hose is hard its from damage to the hose,"How to check engine vacuum hoses<br>Check each hose for bulges and swelling. If a hose feels soft or spongy when you touch it,",":

SENTENCE 2:
How to check engine vacuum hoses<br>Check each hose for bulges and swelling. If a hose feels",0.17,0.19,0.44,0.36
The article advises not to place too many food items in the refrigerator.,"How to freeze foods safely<br>Freeze foods as soon as possible after purchase. Freeze foods in their original packaging, or in a freezer bag or",How to refrigerate foods safely<br>Avoid packing your refrigerator tightly. Packing loosely allows the cold air to circulate. Use an appliance thermometer,0.1,0.11,0.29,0.4
You shouldn't remove the flesh and fat until after the skin has cooled.,How to tan a deer hide<br>Remove all flesh and fat from the deer skin. Do this after the skin has cooled and you are able to lay,"ENCE 2:
How to tan a deer hide<br>Remove all flesh and fat from the deer skin. Do this after the skin has cooled and you",0.42,0.44,0.46,0.42
Losing fluids is bad for your health.,"How to prevent food poisoning<br>Wash your hands before and after handling food.

LABEL: 1

SENTENCE 1:
","How to recover from food poisoning fast<br>Drink plenty of liquids and fluids. If you're experiencing frequent vomiting and diarrhea, your body will quickly lose",0.08,0.12,0.15,0.39
You want to understand terms to follow along with Buddhism ,"
Buddhist

SENTENCE 2:
How to become a buddhist<br>Learn basic buddhist terminology. This will make",", Bodhisattva, Buddha, Dharma, Dukkha, Enlightenment, Karma, Karmic Law, Kamma, Kamma",0.08,0.0,0.44,0.4
You should only pick a border collie.,How to choose a dog breed good at fetch<br>Pick a border collie for a highly trainable dog. Border collies and other herding dogs,":
How to choose a dog breed good at fetch<br>Pick a border collie for a highly trainable dog. Border collies and other her",0.25,0.26,0.4,0.32
Dusting removes 100% of irritants.," 2:
How to stop wheezing<br>Keep your living environment clean. Removing irritants from the air you breathe can stop wheezing", home regularly. [substeps] Use a HEPA filter in your vacuum cleaner. [substeps] Use a HEPA filter in your air conditioner.,0.08,0.0,0.58,0.35
Your dog can test their own eye sight.,How to diagnose collie eye in shelties<br>Test your dog's eyesight. If you want to know if your sheltie has cea," 2:
If you suspect your dog has cea, then take him to the vet.

LABEL: 3

SENTENCE 2:",0.13,0.15,0.44,0.29
Utorrent is an offline program.,How to make utorrent faster<br>Check the number of seeders for the torrent file. Seeders are those who continue to share the file after,How to make utorrent faster<br>Check the number of seeders for the torrent file. Seeders are those who continue to share the file after,0.07,0.07,0.29,0.29
Normal force is pink,How to find the normal force<br>Understand how to find the normal force. Normal force is equal to the weight of the object times the acceleration of,How to find normal force<br>Understand what normal force refers to. Normal force refers to the amount of force use to counteract the force of gravity,0.19,0.13,0.39,0.37
The NOT final step is to select system tools/character map.,"How to type symbols on a keyboard<br>Click on the "" start "" button that you use to shut down your computer. Select the "" programs "" option","How to type symbols on a keyboard<br>Click on the "" start "" button that you use to shut down your computer. Select the "" programs "" option",0.17,0.17,0.29,0.29
Preheat the oven as a first step,"ely chop the garlic and the onion.

SENTENCE 2:
In a large bowl, mix the tuna, the garlic, the onion,"," degrees Fahrenheit.

SENTENCE 2:
How to make sicilian baked tuna<br>Make sure you have all of your",0.15,0.0,0.32,0.12
"You want to be sure to wash your hands first using an antibacterial soap, and to rinse them well with brown mud.","How to clean potatoes<br>Start with clean hands. Be sure to wash your hands first using an antibacterial soap, and to rinse them well. You","How to clean potatoes<br>Start with clean hands. Be sure to wash your hands first using an antibacterial soap, and to rinse them well. You",0.71,0.71,0.43,0.43
Chagas is transmitted by air.,"If you have chagas disease, you may have a heart problem.

LABEL: 3

SENTENCE 3:
If you have","If you have chagas disease, you should take medicine to kill the parasite.

LABEL: 3

SENTENCE 1:
How",0.09,0.09,0.28,0.16
the risk of rolling is non-existent but better safe than sorry.,"How to refill brake fluid<br>Park the vehicle on a level surface and turn off the engine. [substeps] Before proceeding, make sure that"," sorry.

SENTENCE 2:
How to refill brake fluid<br>Park the vehicle on a level surface and turn off the engine.",0.06,0.06,0.13,0.2
if you standstill when being chased by a dog you become an easy target for the dog,"If you can, try to make yourself look bigger.

LABEL: 3

SENTENCE 3:
If you can, try to make","
If you can, try to get the dog's attention.

LABEL: 1

SENTENCE 1:
How to stop a dog",0.17,0.22,0.22,0.29
Taste the ability to adjust the chair height.,Look for the ability to adjust the chair's height. The height of your ergonomic chair should be fully adjustable. The chair's seat should be easy to move,Look for the ability to adjust the chair's height. The height of your ergonomic chair should be fully adjustable. The chair's seat should be easy to move,0.38,0.38,0.59,0.59
"""underwater mortgage"" is composed of four separate words.","If you have a good credit score, you may be able to refinance your mortgage at a lower interest rate.

LABEL: 3

S","If you have a mortgage with a bank or credit union, you can refinance with them.

LABEL: 3

SENTENCE 2:",0.06,0.07,0.25,0.31
You can defeat your enemies by calling them and make a heated conversation.,"How to take revenge on your enemies<br>Call your enemy out. Before giving in to revenge, try telling your enemy exactly what it is that you want","How to take revenge on your enemies<br>Call your enemy out. Before giving in to revenge, try telling your enemy exactly what it is that you want",0.1,0.1,0.48,0.48
put forty cups of water in the pan,How to use an egg poacher<br>Fill the poacher with water. Fill the bottom of the pan with enough water to touch the bottom of the,How to use an egg poacher<br>Fill the poacher with water. Fill the bottom of the pan with enough water to touch the bottom of the,0.17,0.17,0.39,0.39
"In discussing non-verbal communication, your voice refers to both the words you speak and how they sound.    ","How to develop interpersonal skills<br>Learn what makes up nonverbal communication. Nonverbal communication includes your facial expressions, your use of touch, and","
SENTENCE 2:
How to develop interpersonal skills<br>Learn what makes up nonverbal communication. Nonverbal communication includes your facial expressions",0.15,0.11,0.33,0.41
You can also use your air tank to fill an air compressor,How to fill an air tank<br>Take your air tank to an air compressor. Full-service gas stations or truck stops are the most common locations that," 2:
How to fill an air tank<br>Take your air tank to an air compressor. Full-service gas stations or truck stops are the most",0.35,0.37,0.41,0.4
make sure to take out only liquids,"How to measure a refrigerator<br>Measure the height, width, and depth of the refrigerator.

LABEL: 3

SENTENCE 3","ENCE 2:
How to measure a refrigerator<br>Move the refrigerator. To get many of the right measurements, you should move the refrigerator to allow access",0.08,0.06,0.2,0.31
One must use a link verifier before posting the URL to Facebook.,How to post news articles on facebook<br>Visit the website of the news you would like to share. Make sure the article is not grossly offensive and,How to post news articles on facebook<br>Visit the website of the news you would like to share. Make sure the article is not grossly offensive and,0.1,0.1,0.36,0.36
