completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Harry knew much less than Mark did.,"Harry knew that Mark was sure.

LABEL: 2

SENTENCE 3:
Harry knew that Mark knew that Harry knew that Mark was","Harry knew much less than he did.

LABEL: 0

SENTENCE 1:
Of one thing Mark was sure. Harry knew much",0.21,0.44,0.33,0.38
It did not seem possible that the prairie had ever been swept by the winds and snows of that hard winter.,"The prairie was so warm and bright that it seemed impossible that it had ever been swept by the winds and snows of that hard winter.

LAB",The Dakota prairie lay so warm and bright under the shining sun that it did not seem possible that it had ever been swept by the winds and snows of,0.63,0.63,0.63,0.57
The dog was hot.,"The dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.","The dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",0.25,0.25,0.48,0.48
Frank was the winner of the competition.,"Frank was vindicated when his longtime rival Bill revealed that he was the winner of the competition.

LABEL: 2

SENTENCE 1:","Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.

LABEL: 2

SENTENCE 1:",0.5,0.5,0.3,0.29
Joan made sure to thank Susan for all the help Susan had given.,"Joan thanked Susan for all the help she had given.

LABEL: 2

SENTENCE 1:
Joan made sure to thank","Joan made sure to thank Susan for all the help she had given.

LABEL: 2

SENTENCE 1:
Joan made",0.5,0.75,0.56,0.47
I couldn't hear the announcement.,"The subway came into the station, but I couldn't hear over the announcement.

LABEL: 1

SENTENCE 1:
They broadcast","They broadcast an announcement, but a subway came into the station and I couldn't hear over it.

LABEL: 0

SENTENCE 1",0.46,0.29,0.29,0.31
John was very annoyed.,"John was doing research in the library when he heard a man humming and whistling. He was very annoyed.

LABEL: 2

S","John was doing research in the library when he heard a man humming and whistling. He was very annoyed.

LABEL: 2

S",0.31,0.31,0.34,0.34
She has loved the piece since she was a child.,"Mary has loved it since she was a child.

LABEL: 2

SENTENCE 1:
Mary took out her flute and played","Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.

LABEL: 1

",0.47,0.48,0.49,0.5
The map is very good.,"I'm sure that my map will show this building; it is very good.

LABEL: 2

SENTENCE 1:
I'm","I'm sure that my map will show this building; it is very good.

LABEL: 1

SENTENCE 1:
I'm",0.32,0.32,0.23,0.24
Carol believed that Rebecca regretted that Rebecca had stolen the watch.,"Rebecca regretted that she had stolen the watch.

LABEL: 2

SENTENCE 1:
Carol believed that Rebecca regretted that","Carol believed that Rebecca regretted that she had stolen the watch.

LABEL: 2

SENTENCE 1:
Carol believed that Rebecca regret",0.48,0.65,0.46,0.56
The doorway is too narrow.,"The table is too narrow.

LABEL: 2

SENTENCE 1:
The table won't fit through the doorway because it is too","The table won't fit through the doorway because it is too narrow.

LABEL: 1

SENTENCE 1:
The table won't",0.31,0.38,0.37,0.36
The con artist would have lost a lot of money.,"Sam will not lose money if the con artist has not succeeded in fooling him.

LABEL: 1

SENTENCE 1:
If","If the con artist has succeeded in fooling Sam, he would have lost a lot of money.

LABEL: 0

SENTENCE 1",0.2,0.65,0.21,0.51
"The piano was broken, so he had to sing instead.","Sam sang a song about a broken chair.

LABEL: 2

SENTENCE 1:
Sam pulled up a chair to the piano,","Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.

LABEL: 2

SENTENCE",0.13,0.65,0.37,0.48
"When Fred first saw my father, Fred was twelve months old.","Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.

LABEL","Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.

LABEL",0.54,0.54,0.59,0.59
Lucy had studied so hard.,"Lucy did not study as hard as Anna did.

LABEL: 1

SENTENCE 1:
Anna did a lot better than her","Anna did a lot better than her good friend Lucy on the test because she had studied so hard.

LABEL: 1

SENTENCE 1",0.16,0.36,0.39,0.37
Susan invited her to come out.,"Jane went out, and Susan invited her to come in.

LABEL: 1

SENTENCE 1:
Jane knocked on the door,","Jane knocked on the door, and Susan answered it. She invited her to come out.

LABEL: 1

SENTENCE 1:
",0.4,0.48,0.46,0.36
We couldn't reach the lake.,"We went to the lake anyway.

LABEL: 2

SENTENCE 1:
The path to the lake was blocked, so we couldn","We had to go around the lake.

LABEL: 2

SENTENCE 1:
The path to the lake was blocked, so we",0.23,0.23,0.35,0.34
The jacket looks dowdy on her.,"Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.

LABEL: 1

SENT","Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.

LABEL: 0

SENT",0.37,0.37,0.42,0.43
Kirilov was more popular.,"Kirilov was more popular than Shatov.

LABEL: 1

SENTENCE 1:
Kirilov ceded","Kirilov ceded the presidency to Shatov because he was more popular.

LABEL: 1

SENTENCE 1:
",0.5,0.42,0.38,0.29
The lemon trees came out looking more like telephone poles.,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.

LAB","I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.

LAB",0.57,0.57,0.5,0.5
Martin is very successful.,"Pete envies Martin because he is very successful.

LABEL: 2

SENTENCE 1:
Pete envies Martin because he","Pete envies Martin because he is very successful.

LABEL: 1

SENTENCE 1:
Pete envies Martin because he",0.38,0.38,0.47,0.48
I carried the newspaper in my backpack to keep the newspaper dry.,"I carried the newspaper in my backpack to keep it dry.

LABEL: 2

SENTENCE 1:
I carried the newspaper in my","Since it was raining, I carried the newspaper in my backpack to keep it dry.

LABEL: 1

SENTENCE 1:
",0.67,0.65,0.49,0.52
Pam and Paul were furious about it.,"Pam's parents were furious about it.

LABEL: 1

SENTENCE 1:
Pam's parents were furious about it.","Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.

LABEL: 0

S",0.4,0.48,0.71,0.42
"He had to be the life and soul of a dinner party, with the dinner party there all the time.","I was feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room","I sat there feeling rather like a chap I'd once read about in a book, who murdered another chap and hid the body under the dining-room table,",0.13,0.12,0.26,0.32
Now I have to get The tree removed.,"The tree was already dead.

LABEL: 2

SENTENCE 3:
The tree was already dead.

LABEL: 3","The tree fell down and crashed through the roof of my house. Now, I have to get it removed.

LABEL: 2

SENT",0.17,0.4,0.55,0.44
He changed his mind and turned the TV off.,"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring,","Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring,",0.11,0.11,0.49,0.49
The rain continued until 10.,"The rain stopped at 10.

LABEL: 2

SENTENCE 1:
The rain started falling, and it continued until 10.
","The rain stopped, and the concert continued until 10.

LABEL: 2

SENTENCE 1:
The rain started falling, and it",0.43,0.42,0.55,0.36
Even one thread uncut will leave one thread too small.,"The only way to do it is to cut the buttonholes first, and then sew them on.

LABEL: 1

SENTENCE 1","The only way to do it is to cut the buttonholes first, and then sew them on.

LABEL: 1

SENTENCE 1",0.0,0.0,0.18,0.18
Adam was known to speak it fluently.,"Adam was known to speak French fluently.

LABEL: 2

SENTENCE 1:
Sam took French classes from Adam, because he","Sam took French classes from Adam, because he was known to speak it fluently.

LABEL: 1

SENTENCE 1:
Sam",0.46,0.54,0.34,0.42
Sid couldn't convince him.,"Mark was convinced by Sid's theory.

LABEL: 2

SENTENCE 1:
Sid explained his theory to Mark but he couldn","Sid explained his theory to Mark but he couldn't convince him.

LABEL: 2

SENTENCE 1:
Sid explained his",0.16,0.42,0.4,0.43
We should make more of the oatmeal cookies.,"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.

LAB","Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.

LAB",0.31,0.31,0.48,0.48
The bag of flour had to be moved first.,"The sack of potatoes was placed below the bag of flour, so it had to be moved first.

LABEL: 2

SENTENCE 1","The sack of potatoes had been placed below the bag of flour, so it had to be moved first.

LABEL: 1

SENTENCE",0.58,0.58,0.4,0.32
Tommy's legs dangled.,"Ollie was tired.

LABEL: 2

SENTENCE 1:
As Ollie carried Tommy up the long winding steps,","As Ollie carried Tommy up the long winding steps, his legs dangled.

LABEL: 2

SENTENCE 1:
As",0.1,0.29,0.31,0.29
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Goodman faced in his research.,"Xenophanes' biography of the Spartan general was published in the early twentieth century.

LABEL: 2

The following table shows the","Xenophanes' biography of the Spartan general was a difficult task.

LABEL: 2

The task is to predict the label for",0.29,0.34,0.21,0.28
Blaze took upon himself the feeding and care of the animal.,"Mark was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding","Mark was absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he",0.26,0.16,0.34,0.23
Joe's uncle is 30 years older.,"Joe's uncle is still in good shape.

LABEL: 2

SENTENCE 1:
Joe's uncle can still beat him at tennis","Joe's uncle can still beat him at tennis, even though he is 30 years older.

LABEL: 1

SENTENCE 1:
",0.29,0.52,0.31,0.33
Mama had to hunt for a button.,Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album,Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album,0.17,0.17,0.39,0.39
The cup was full.,"I poured water from the bottle into the cup until it was full.

LABEL: 2

SENTENCE 1:
I poured water from","I poured water from the bottle into the cup until it was full.

LABEL: 1

SENTENCE 1:
I poured water from",0.32,0.32,0.36,0.37
"Ethan was ""it"".","Ethan chased Luke because he was ""it"".

LABEL: 2

SENTENCE 1:
During a game of tag, Ethan chased","During a game of tag, Ethan chased Luke because he was ""it"".

LABEL: 2

SENTENCE 1:
During a game",0.29,0.27,0.32,0.29
Joan was hungry.,"Jane gave Joan candy because she was hungry.

LABEL: 2

SENTENCE 1:
Jane gave Joan candy because she was hungry.","Jane gave Joan candy because she was hungry.

LABEL: 2

SENTENCE 1:
Jane gave Joan candy because she was hungry.",0.26,0.26,0.69,0.69
Edward no longer requires his financial support.,"Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.

LABEL: 2
","Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrie",0.48,0.07,0.43,0.25
Father gave Tommy a sympathetic look.,"Father gave Timmy a sympathetic look.

LABEL: 2

SENTENCE 1:
When Tommy dropped his ice cream, Timmy gigg","When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.

LABEL: 2

SENTENCE 1",0.42,0.4,0.34,0.32
The man was very annoyed.,"John was doing research in the library when he heard a man humming and whistling. He was very annoyed.

LABEL: 1

S","John was doing research in the library when he heard a man humming and whistling. He was very annoyed.

LABEL: 1

S",0.37,0.37,0.34,0.34
Even one thread uncut will leave the slip too small.,"The only way to do it is to cut the buttonholes first, and then sew them on.

LABEL: 1

SENTENCE 1","The only way to do it is to cut the buttonholes first, and then sew them on.

LABEL: 1

SENTENCE 1",0.06,0.06,0.18,0.18
Ann is nosy.,"Ann is nosy.

LABEL: 1

SENTENCE 1:
Susan knows all about Ann's personal problems because she is nos","Susan knows all about Ann's personal problems because she is nosy.

LABEL: 0

SENTENCE 1:
Susan knows",0.27,0.29,0.44,0.33
Even one thread uncut will leave the scissors too small.,"The only way to do it is to cut the buttonholes first, and then sew them on.

LABEL: 1

SENTENCE 1","The only way to do it is to cut the buttonholes first, and then sew them on.

LABEL: 1

SENTENCE 1",0.06,0.06,0.19,0.19
The cloud was out.,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.

LABEL: 1","The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.

LABEL: 1",0.3,0.3,0.26,0.26
"The stars were very cooperative, so the interview lasted for a long time.","The stars of the new movie were very cooperative, so the interview lasted for a long time.

LABEL: 2

SENTENCE 1:","The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.

LABEL: 1

",0.76,0.72,0.57,0.57
The city councilmen feared violence.,"The demonstrators were denied a permit because they feared violence.

LABEL: 2

SENTENCE 1:
The city councilmen refused the","The city councilmen refused the demonstrators a permit because they feared violence.

LABEL: 2

SENTENCE 1:
The city council",0.25,0.42,0.3,0.36
Anne's daughter is a very charming woman.,"Anne is a very charming woman.

LABEL: 1

SENTENCE 1:
Anne gave birth to a daughter last month. She is","Anne gave birth to a daughter last month. She is a very charming woman.

LABEL: 0

SENTENCE 1:
Anne gave",0.43,0.5,0.46,0.29
Jackson lived two centuries later.,"Jackson was greatly influenced by Arnold, though he lived two centuries later.

LABEL: 2

SENTENCE 1:
Jackson was greatly influenced","Jackson was greatly influenced by Arnold, though he lived two centuries later.

LABEL: 2

```

## Training

```
python",0.4,0.48,0.49,0.16
It was a fine selection of Shakespeare's writing.,"Ovid was a Roman poet who wrote about love and nature.

LABEL: 1

SENTENCE 1:
This book introduced Shakespeare to","This book introduced Shakespeare to Ovid; it was a fine selection of his writing.

LABEL: 0

SENTENCE 1:
This",0.21,0.5,0.19,0.37
The father carried the sleeping boy in the father's bassinet.,"The father carried the sleeping boy in his bassinet.

LABEL: 1

SENTENCE 1:
The father carried the sleeping boy in","The father carried the sleeping boy in his bassinet.

LABEL: 0

SENTENCE 1:
The father carried the sleeping boy in",0.58,0.58,0.5,0.49
"Dan took the rear seat while Bill claimed the front because Dan's ""Dibs!"" was quicker.","Bill claimed the front because his ""Dibs!"" was quicker.

LABEL: 1

SENTENCE 1:
Dan took the rear","Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.

LABEL: 1

SENTENCE 1",0.48,0.8,0.5,0.64
Martin is very successful.,"Pete envies Martin because he is very successful.

LABEL: 1

SENTENCE 1:
Pete envies Martin although he","Pete envies Martin although he is very successful.

LABEL: 0

SENTENCE 1:
Pete envies Martin although he",0.38,0.38,0.47,0.5
Harry knew much less than Harry did.,"Harry knew much less than he did.

LABEL: 1

SENTENCE 1:
Of one thing Mark was sure. Harry knew much","Harry knew much less than he did.

LABEL: 1

SENTENCE 1:
Of one thing Mark was sure. Harry knew much",0.44,0.44,0.38,0.38
Uncle Vernon couldn't very well marry without his approval,"Chester was dependent on Uncle Vernon, so he couldn't very well marry without his approval

LABEL: 1

SENTENCE 1:
","Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval

LABEL: 0

SENTENCE 1:
Since",0.67,0.65,0.43,0.3
Thomson had been dead for five years.,"Thomson was a great admirer of Cooper.

LABEL: 1

SENTENCE 1:
Thomson was a great admirer of","Thomson visited Cooper's grave in 1765. At that date he had been dead for five years.

LABEL: 1

SENTENCE",0.08,0.52,0.33,0.27
Mark should have been more skeptical.,"Pete included Mark's lies in his book.

LABEL: 1

SENTENCE 1:
Mark told Pete many lies about himself,","Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.

LABEL: 1

SENT",0.08,0.43,0.36,0.39
"The meeting was delayed, so it worked out.","The train was delayed, so I had to catch the bus.

LABEL: 1

SENTENCE 1:
My meeting started at 4","My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed,",0.29,0.18,0.31,0.46
The foxes have gotten very nervous.,"The foxes are getting in at night and attacking the chickens. They have gotten very nervous.

LABEL: 1

SENTENCE 1:","The foxes are getting in at night and attacking the chickens. They have gotten very nervous.

LABEL: 0

SENTENCE 1:",0.46,0.46,0.42,0.44
The butterfly wing broke.,"I put the butterfly wing on the table and it broke.

LABEL: 2

SENTENCE 1:
I put the butterfly wing on","I put the butterfly wing on the table and it broke.

LABEL: 1

SENTENCE 1:
I put the butterfly wing on",0.32,0.32,0.42,0.43
Fred and Alice were not prepared for the cold in Alaska.,"Fred and Alice were not prepared for the cold in Alaska.

LABEL: 2

SENTENCE 1:
Fred and Alice had very warm","Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.

LABEL: 2

SENTENCE 1",0.69,0.67,0.42,0.47
Tom wouldn't have to walk.,"Tom gave Ralph a lift to school so he wouldn't have to walk.

LABEL: 1

SENTENCE 1:
Tom gave Ralph","Tom gave Ralph a lift to school so he wouldn't have to walk.

LABEL: 1

SENTENCE 1:
Tom gave Ralph",0.44,0.44,0.39,0.39
The refrigerator has a lot of leftovers in it.,"I put the cake away in the refrigerator. It has a lot of leftovers in it.

LABEL: 2

SENTENCE 1:","I put the cake away in the refrigerator. It has a lot of leftovers in it.

LABEL: 1

SENTENCE 1:",0.62,0.62,0.44,0.45
Mark couldn't convince him.,"Mark was convinced by Sid's theory.

LABEL: 1

SENTENCE 1:
Sid explained his theory to Mark but he couldn","Sid explained his theory to Mark but he couldn't convince him.

LABEL: 1

SENTENCE 1:
Sid explained his",0.16,0.42,0.4,0.45
I took the water bottle out of the backpack so that the water bottle would be handy.,"I put the water bottle back in the backpack.

LABEL: 2

SENTENCE 1:
I took the water bottle out of the","I took the water bottle out of the backpack so that it would be handy.

LABEL: 1

SENTENCE 1:
I took",0.47,0.74,0.35,0.44
The worm was tasty.,"The fish ate the worm. It was tasty.

LABEL: 2

SENTENCE 1:
The fish ate the worm. It was","The fish ate the worm. It was tasty.

LABEL: 1

SENTENCE 1:
The fish ate the worm. It was",0.35,0.35,0.49,0.5
Andrea could see the landing strip.,"Andrea was flying the crop duster.

LABEL: 2

SENTENCE 1:
Andrea was flying the crop duster.","As Andrea in the crop duster passed over Susan, she could see the landing strip.

LABEL: 2

SENTENCE 1:
",0.18,0.48,0.47,0.3
Susan could see the landing strip.,"As Andrea in the crop duster passed over Susan, she could see the landing strip.

LABEL: 1

SENTENCE 1:
","As Andrea in the crop duster passed over Susan, she could see the landing strip.

LABEL: 0

SENTENCE 1:
",0.48,0.48,0.25,0.25
Lionel plans to use it on Geoffrey and send Geoffrey to steal nuclear material from an army vault.,"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey","Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey",0.33,0.33,0.43,0.43
Shatov was more popular.,"Shatov was more popular than Kirilov.

LABEL: 2

SENTENCE 1:
Kirilov ceded the","Kirilov ceded the presidency to Shatov because he was more popular.

LABEL: 1

SENTENCE 1:
",0.47,0.42,0.28,0.24
The government official was less than 21 when he filed for a homestead claim.,"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything","Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything",0.65,0.65,0.51,0.51
Alice stroked her hair and let the child weep.,"Mama said, ""I'm sorry, Alice. I know you're upset, but you mustn't cry.

LABEL: 1

","Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.

LABEL: 0

",0.07,0.62,0.26,0.48
"Since Jade always has good luck, Alice spotted her quickly.","Jade was looking for Alice, but she couldn't find her.

LABEL: 1

SENTENCE 1:
Alice looked for","Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.

LABEL: 0

",0.21,0.58,0.3,0.56
"He had to be the life and soul of a dinner party, with the body there all the time.","I was feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room","I sat there feeling rather like a chap I'd once read about in a book, who murdered another chap and hid the body under the dining-room table,",0.17,0.17,0.32,0.39
The mouse was too impatient.,"The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.

LABEL: 1

SENTENCE 1:","The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.

LABEL: 0

SENTENCE 1:",0.38,0.38,0.31,0.33
We should make more of the chocolate chip cookies.,"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.

LAB","Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.

LAB",0.3,0.3,0.49,0.49
Jim signaled the barman and gestured toward Jim's bathroom key.,"Jim went to the bathroom and took a shower.

LABEL: 1

SENTENCE 1:
Jim signaled the barman and gestured","Jim signaled the barman and gestured toward his bathroom key.

LABEL: 0

SENTENCE 1:
Jim signaled the barman",0.4,0.62,0.41,0.65
He heard Mr. Singer calling for the captain.,"The captain and his crew were in the cabin.

LABEL: 2

SENTENCE 3:
The captain and his crew were in the","
The label for this instance is the string ""SENTENCE 2"".

EXAMPLE INSTANCE:

SENTENCE 1:
Mark",0.14,0.17,0.38,0.2
The shelf was too tall.,"I put the pot on the shelf.

LABEL: 1

SENTENCE 1:
I couldn't put the pot on the shelf because","I couldn't put the pot on the shelf because it was too tall.

LABEL: 0

SENTENCE 1:
I couldn't",0.15,0.38,0.49,0.33
The juggler was very impressive.,"John was jogging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 2

S","John was jogging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 0

```",0.32,0.33,0.29,0.23
The witness was reluctant to answer it.,"The witness was reluctant to answer the lawyer's question.

LABEL: 2

SENTENCE 1:
The lawyer asked the witness a question","The witness was reluctant to answer the lawyer's question.

LABEL: 2

SENTENCE 1:
The lawyer asked the witness a question",0.43,0.43,0.55,0.55
Susan told her about it.,"Ann's son was in a car accident.

LABEL: 1

SENTENCE 1:
Susan knew that Ann's son had been","Susan knew that Ann's son had been in a car accident, because she told her about it.

LABEL: 1

SENTENCE",0.08,0.38,0.31,0.32
Chester couldn't very well marry without his approval,"Chester was a very good man

LABEL: 2

SENTENCE 1:
Chester was a very good man

LABEL","Chester was dependent on Uncle Vernon, so he couldn't very well marry without his approval

LABEL: 2

SENTENCE 1:
",0.15,0.62,0.42,0.43
The opponents were very much in the majority.,"The sponsors of the bill were very much in the minority.

LABEL: 2

SENTENCE 1:
The sponsors of the bill were","The sponsors of the bill were surprised to find that the room was full of opponents. They were very much in the majority.

LABEL: 2
",0.41,0.48,0.37,0.47
Billy cried because Toby wouldn't share Toby's toy.,"Toby cried because Billy wouldn't share his toy.

LABEL: 2

SENTENCE 3:
Billy cried because Toby wouldn","Billy cried because Toby wouldn't share his toy.

LABEL: 2

SENTENCE 1:
Billy cried because Toby",0.43,0.59,0.47,0.65
The judges were so stupid.,"The judges were so stupid that they couldn't figure out which respondents were the chatbots.

LABEL: 2

SENTENCE 1:","The judges couldn't figure out which respondents were the chatbots because they were so stupid.

LABEL: 2

SENTENCE 1:",0.4,0.4,0.26,0.26
The table was made of steel.,"The ball was made of steel.

LABEL: 1

SENTENCE 1:
The large ball crashed right through the table because it was","The large ball crashed right through the table because it was made of steel.

LABEL: 0

SENTENCE 1:
The large ball",0.37,0.44,0.29,0.33
His friend Henry let him stack the beans in his barn where they would dry.,"Grant and Henry were friends.

LABEL: 2

SENTENCE 3:
Grant and Henry were friends.

LABEL: 3","Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they",0.06,0.48,0.5,0.49
Jane was out.,"Jane knocked on Susan's door, but there was no answer. She was out.

LABEL: 1

SENTENCE 1:
Jane","Jane knocked on Susan's door, but there was no answer. She was out.

LABEL: 1

SENTENCE 1:
Jane",0.27,0.27,0.36,0.36
Jane invited her to come in.,"Jane and Susan went to the park.

LABEL: 1

SENTENCE 1:
Jane and Susan went to the park.

","Jane knocked on the door, and Susan answered it. She invited her to come in.

LABEL: 1

SENTENCE 1:
",0.17,0.48,0.58,0.37
The doorway is too wide.,"The table is too wide.

LABEL: 1

SENTENCE 1:
The table won't fit through the doorway because it is too","The table won't fit through the doorway because it is too wide.

LABEL: 0

SENTENCE 1:
The table won't",0.31,0.38,0.39,0.36
Those occasions stood out as red-letter days for father.,"Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red-","Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red-",0.31,0.31,0.35,0.35
Sam would have lost a lot of money.,"Sam will not be fooled by the con artist.

LABEL: 2

SENTENCE 1:
If the con artist has succeeded in","If the con artist has succeeded in fooling Sam, he would have lost a lot of money.

LABEL: 1

SENTENCE 1",0.07,0.55,0.28,0.4
"His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry's father into a drug runner.","Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot"," 2:
Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader",0.28,0.29,0.28,0.36
Frank was the winner of the competition.,"Frank was crushed when he learned that Bill had won the competition.

LABEL: 1

SENTENCE 1:
Frank felt crushed when his","Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.

LABEL: 1

SENTENCE 1:
",0.29,0.5,0.35,0.28
He lowered his hands when the wind stopped.,"Fred lowered his hands, because the wind was blowing sand around. He covered his eyes when the wind stopped.

LABEL: 2

SENT","Fred lowered his hands and looked around. He saw a large sand dune.

LABEL: 2

SENTENCE 1:
Fred covered",0.47,0.22,0.43,0.25
Folks said he died just to be ride of the folks' everlasting nagging.,The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said,The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said,0.11,0.11,0.32,0.32
The father carried the sleeping boy in the boy's arms.,"The father carried the sleeping boy in his arms.

LABEL: 1

SENTENCE 1:
The father carried the sleeping boy in his","The father carried the sleeping boy in his arms.

LABEL: 0

SENTENCE 1:
The father carried the sleeping boy in his",0.56,0.56,0.48,0.47
You can see the garden through the wall.,"There is a gap in the wall. You can see the garden through it.

LABEL: 1

SENTENCE 1:
There is","There is a gap in the wall. You can see the garden through it.

LABEL: 0

SENTENCE 1:
There is",0.43,0.43,0.3,0.28
Archaeologists hunted for deer on the river banks.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.

LABEL: 1","Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.

LABEL: 0",0.53,0.53,0.51,0.53
Susan told her about it.,"Ann's son was in a car accident.

LABEL: 2

SENTENCE 1:
Susan knew that Ann's son had been","Susan told Ann that her son had been in a car accident.

LABEL: 2

SENTENCE 1:
Susan knew that",0.08,0.25,0.31,0.3
The man subtracted that amount from the man's wages.,"The man was paid the difference.

LABEL: 1

SENTENCE 1:
Then Dad figured out how much the man owed the store",Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty. He subtracted,0.26,0.33,0.36,0.34
The teller was immediately taken to the hospital.,"The customer was arrested and charged with attempted murder.

LABEL: 2

SENTENCE 3:
The customer was sentenced to life in prison","The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.

LABEL: 2

SENT",0.21,0.47,0.31,0.35
Kirilov was less popular.,"Shatov was less popular than Kirilov.

LABEL: 2

SENTENCE 1:
Kirilov ceded the","Kirilov ceded the presidency to Shatov because he was less popular.

LABEL: 1

SENTENCE 1:
",0.35,0.42,0.25,0.28
John hired Bill to take care of Bill.,"Bill took care of John.

LABEL: 1

SENTENCE 1:
John hired Bill to take care of him.

LAB","John hired Bill to take care of him.

LABEL: 1

SENTENCE 1:
John hired Bill to take care of him.",0.54,0.57,0.46,0.7
John's turn was next.,"John passed the gameboy to Bill because his turn was next.

LABEL: 2

SENTENCE 1:
Bill passed the gameboy","Bill passed the gameboy to John because his turn was next.

LABEL: 2

SENTENCE 1:
Bill passed the gameboy",0.33,0.33,0.48,0.51
Joe delivered the final report on the case.,"The detective delivered the final report on the case.

LABEL: 1

SENTENCE 1:
Joe paid the detective after he delivered the","Joe paid the detective after he delivered the final report on the case.

LABEL: 1

SENTENCE 1:
Joe paid the detective",0.48,0.55,0.34,0.6
